"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map00196","map00196","Photosynthesis - antenna proteins","15/144","42/13565",8.98781816728498e-20,1.0785381800742e-17,9.36625261643383e-18,"K02092/K02093/K02096/K02097/K02284/K02285/K02288/K02289/K02290/K05376/K05377/K05378/K05380/K05383/K05386",15
"map00195","map00195","Photosynthesis","16/144","63/13565",2.65930970687987e-18,1.59558582412792e-16,1.38564032095319e-16,"K02634/K02636/K02690/K02692/K02693/K02698/K02704/K02705/K02709/K02712/K02716/K02719/K02720/K02723/K02724/K08906",16
"map01240","map01240","Biosynthesis of cofactors","24/144","375/13565",1.2354598403579e-12,4.94183936143158e-11,4.29159734019058e-11,"K00128/K00208/K00457/K00606/K00609/K00940/K00941/K00950/K01599/K01756/K01845/K02227/K02551/K03179/K03517/K03525/K03638/K05895/K05936/K05979/K09834/K09903/K11752/K13799",24
"map00860","map00860","Porphyrin metabolism","12/144","139/13565",2.71695913550085e-08,8.15087740650256e-07,7.07839353722591e-07,"K01599/K01845/K02227/K03403/K03428/K04035/K05369/K05370/K05895/K05936/K10960/K21480",12
"map03010","map03010","Ribosome","11/144","143/13565",3.43029851435024e-07,8.23271643444057e-06,7.14946427201418e-06,"K02874/K02881/K02890/K02895/K02897/K02904/K02931/K02933/K02965/K02982/K02994",11
"map01232","map01232","Nucleotide metabolism","7/144","123/13565",0.000334353189188231,0.00668706378376462,0.00580718697011138,"K00761/K00940/K01519/K01756/K02825/K09903/K13799",7
"map00240","map00240","Pyrimidine metabolism","6/144","111/13565",0.00117063776058986,0.0178367692028755,0.0154898258867076,"K00609/K00761/K00940/K02825/K09903/K13799",6
"map00770","map00770","Pantothenate and CoA biosynthesis","4/144","44/13565",0.00118911794685836,0.0178367692028755,0.0154898258867076,"K00128/K00606/K03525/K13799",4
"map00561","map00561","Glycerolipid metabolism","5/144","91/13565",0.00281404953732305,0.0375206604976407,0.0325837314847932,"K00128/K00864/K01046/K06118/K06119",5
"map00130","map00130","Ubiquinone and other terpenoid-quinone biosynthesis","4/144","59/13565",0.00352662687309672,0.0423195224771606,0.0367511642564816,"K00457/K02551/K03179/K09834",4
"map01230","map01230","Biosynthesis of amino acids","8/144","238/13565",0.00388756619778563,0.0424098130667523,0.0368295745053375,"K00052/K00766/K00817/K00928/K01609/K01623/K04518/K22305",8
