"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071840","GO:0071840","cellular component organization or biogenesis","26/323","66/1630",0.000141661970170162,0.0289816104277488,0.0268210276452174,"2607584622/2607585127/2607587034/2607587038/2607588136/2607588937/K01921/K02469/K02470/K02520/K02600/K02834/K02835/K02887/K02992/K03215/K03217/K03431/K03587/K03977/K04066/K05515/K05592/K06941/K07056/K07447",26
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","13/323","24/1630",0.000173714737344293,0.0289816104277488,0.0268210276452174,"2607585250/2607585273/2607586860/2607587313/2607588575/2607589599/K00033/K00688/K01092/K01783/K01790/K03841/K15633",13
"GO:0009399","GO:0009399","nitrogen fixation","7/323","9/1630",0.000282228748270011,0.0289816104277488,0.0268210276452174,"K02586/K02587/K02588/K02591/K02593/K02596/K02597",7
"GO:0031412","GO:0031412","gas vesicle organization","5/323","5/1630",0.000298011418280193,0.0289816104277488,0.0268210276452174,"2607587034/2607587037/2607587038/2607587043/2607587044",5
"GO:0006412","GO:0006412","translation","32/323","92/1630",0.000383248291538476,0.0298167170816934,0.0275938769907703,"K01873/K01874/K01881/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02884/K02887/K02888/K02899/K02902/K02911/K02913/K02914/K02916/K02935/K02939/K02945/K02952/K02954/K02956/K02959/K02967/K02986/K02992/K02996/K03596/K19032",32
"GO:0044238","GO:0044238","primary metabolic process","111/323","437/1630",0.000489774294584416,0.0317537000988896,0.029386457675065,"2607585127/2607585250/2607585273/2607585597/2607585983/2607586619/2607586860/2607586911/2607587034/2607587038/2607587086/2607587313/2607587666/2607587719/2607587965/2607588569/2607588575/2607588576/2607588597/2607588701/2607588784/2607588937/2607589500/2607589599/K00003/K00033/K00036/K00099/K00134/K00254/K00281/K00284/K00602/K00611/K00645/K00688/K00764/K00859/K00962/K01092/K01147/K01191/K01358/K01414/K01423/K01462/K01586/K01647/K01649/K01682/K01733/K01755/K01783/K01790/K01810/K01814/K01866/K01873/K01874/K01881/K01892/K01911/K01915/K01950/K01951/K02275/K02291/K02294/K02316/K02338/K02357/K02435/K02469/K02470/K02519/K02600/K02835/K02864/K02867/K02871/K02945/K02954/K02959/K02967/K02986/K02992/K03215/K03431/K03470/K03544/K03596/K03605/K03688/K03787/K03798/K03841/K03885/K04066/K04651/K04652/K04655/K05356/K06941/K06972/K07056/K07447/K08106/K09667/K11356/K13038/K15633",111
"GO:0043170","GO:0043170","macromolecule metabolic process","68/323","246/1630",0.000794794270336492,0.0352452227998236,0.0326176869098624,"2607584622/2607585127/2607585250/2607585273/2607586619/2607586860/2607586911/2607587034/2607587038/2607587086/2607587313/2607587666/2607587965/2607588575/2607588576/2607588784/2607588937/2607589500/K00688/K00962/K01147/K01358/K01414/K01423/K01462/K01790/K01866/K01873/K01874/K01881/K01892/K01921/K02316/K02338/K02357/K02435/K02469/K02470/K02519/K02600/K02835/K02864/K02867/K02871/K02945/K02954/K02959/K02967/K02986/K02992/K03215/K03431/K03470/K03544/K03596/K03605/K03798/K04066/K04651/K04652/K04655/K06941/K06972/K07056/K07447/K08106/K09667/K11356",68
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","12/323","24/1630",0.000815442172746561,0.0352452227998236,0.0326176869098624,"2607585127/2607587034/2607587038/K02834/K02887/K02992/K03215/K03977/K05592/K06941/K07056/K07447",12
"GO:0042254","GO:0042254","ribosome biogenesis","12/323","24/1630",0.000815442172746561,0.0352452227998236,0.0326176869098624,"2607585127/2607587034/2607587038/K02834/K02887/K02992/K03215/K03977/K05592/K06941/K07056/K07447",12
"GO:0019538","GO:0019538","protein metabolic process","38/323","120/1630",0.000930468683539914,0.0361952317897027,0.0334968726074369,"2607586619/2607586911/2607587086/2607587666/2607587965/2607588576/2607588937/K01358/K01414/K01423/K01462/K01873/K01874/K01881/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02945/K02954/K02959/K02967/K02986/K02992/K03544/K03596/K03605/K03798/K04651/K04652/K04655/K06972/K08106/K09667/K11356",38
"GO:0006518","GO:0006518","peptide metabolic process","22/323","59/1630",0.00113960878508148,0.0403007106724269,0.0372962875117576,"2607587719/2607588793/K00383/K01256/K01414/K01873/K01874/K01881/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02945/K02954/K02959/K02967/K02986/K02992/K03596",22
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","15/323","35/1630",0.00140697183679328,0.0415806489829328,0.0384808062566987,"2607587313/K00033/K00036/K00688/K01647/K01682/K01783/K01810/K02274/K02275/K02276/K03885/K05572/K05575/K23548",15
"GO:0000027","GO:0000027","ribosomal large subunit assembly","5/323","6/1630",0.00149647579887162,0.0415806489829328,0.0384808062566987,"2607587034/2607587038/K02887/K03977/K05592",5
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","5/323","6/1630",0.00149647579887162,0.0415806489829328,0.0384808062566987,"2607587034/2607587038/K02887/K03977/K05592",5
