"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990904","GO:1990904","ribonucleoprotein complex","23/158","49/759",1.97589578268375e-05,0.000714803290060223,0.000570804805129761,"K02864/K02867/K02871/K02884/K02887/K02899/K02902/K02913/K02914/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K06207/K19032",23
"GO:0005840","GO:0005840","ribosome","25/158","56/759",2.46483893124215e-05,0.000714803290060223,0.000570804805129761,"K02687/K02864/K02867/K02871/K02884/K02887/K02888/K02899/K02902/K02913/K02914/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K05592/K19032",25
"GO:0044391","GO:0044391","ribosomal subunit","18/158","37/759",9.84802841760592e-05,0.0014419692304353,0.00115148178110986,"K02864/K02867/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996",18
"GO:0032991","GO:0032991","protein-containing complex","34/158","92/759",9.94461538231239e-05,0.0014419692304353,0.00115148178110986,"K00281/K00392/K01147/K01358/K02005/K02469/K02706/K02864/K02867/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K03470/K05575/K05576/K05578/K06207/K10697/K11329/K13038/K23548",34
"GO:0043228","GO:0043228","non-membrane-bounded organelle","20/158","45/759",0.000194097415111951,0.00187627501274886,0.0014982958359519,"K01147/K02864/K02867/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K05592",20
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","20/158","45/759",0.000194097415111951,0.00187627501274886,0.0014982958359519,"K01147/K02864/K02867/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K05592",20
"GO:0043226","GO:0043226","organelle","31/158","85/759",0.000290077516969769,0.00210306199803082,0.00167939615087761,"K00383/K01147/K01462/K02259/K02357/K02706/K02835/K02864/K02867/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K03544/K03798/K05575/K05578/K05592/K13819",31
"GO:0043229","GO:0043229","intracellular organelle","31/158","85/759",0.000290077516969769,0.00210306199803082,0.00167939615087761,"K00383/K01147/K01462/K02259/K02357/K02706/K02835/K02864/K02867/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02952/K02954/K02959/K02963/K02967/K02986/K02990/K02992/K02996/K03544/K03798/K05575/K05578/K05592/K13819",31
"GO:0022626","GO:0022626","cytosolic ribosome","13/158","29/759",0.00259086781834306,0.0166967037182108,0.0133331209365023,"K02864/K02871/K02884/K02887/K02899/K02916/K02935/K02939/K02963/K02967/K02990/K02992/K02996",13
"GO:0015934","GO:0015934","large ribosomal subunit","10/158","22/759",0.00737809415288356,0.0427929460867247,0.0341722255501975,"K02864/K02867/K02871/K02884/K02887/K02899/K02911/K02916/K02935/K02939",10
