"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","GO:0006412","translation","37/271","92/1630",2.20349281588934e-08,7.95460906536052e-06,7.16715031694533e-06,"K01426/K01881/K01885/K01892/K02357/K02519/K02835/K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02886/K02887/K02890/K02895/K02906/K02913/K02916/K02926/K02931/K02935/K02945/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02988/K02992/K03076/K03596/K04567",37
"GO:0043043","GO:0043043","peptide biosynthetic process","22/271","53/1630",1.0921450129249e-05,0.00155291897499795,0.00139918927912047,"2607587719/K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03596/K04567",22
"GO:0043604","GO:0043604","amide biosynthetic process","24/271","61/1630",1.2905143836548e-05,0.00155291897499795,0.00139918927912047,"2607587719/K00162/K01012/K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03596/K04567",24
"GO:0006518","GO:0006518","peptide metabolic process","23/271","59/1630",2.36735526960915e-05,0.00213653813082225,0.00192503362712954,"2607587719/K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03596/K04567",23
"GO:0043603","GO:0043603","cellular amide metabolic process","26/271","72/1630",3.37381334357554e-05,0.00220898729355582,0.00199031075582082,"2607587719/K00162/K01012/K01788/K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03596/K04567",26
"GO:0006414","GO:0006414","translational elongation","21/271","53/1630",4.09750403303623e-05,0.00220898729355582,0.00199031075582082,"K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03596/K04567",21
"GO:0019538","GO:0019538","protein metabolic process","37/271","120/1630",4.38120131952668e-05,0.00220898729355582,0.00199031075582082,"2607585186/2607587086/2607587425/2607587426/2607588576/2607588937/K01881/K01885/K01892/K02357/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03524/K03544/K03596/K03605/K03798/K04567/K04652/K04655/K08106/K09667/K11356",37
"GO:0016043","GO:0016043","cellular component organization","19/271","46/1630",4.89913114457606e-05,0.00220898729355582,0.00199031075582082,"2607585251/2607587034/2607587038/2607588136/2607588300/2607588937/K00075/K01448/K02469/K02470/K02520/K02835/K02887/K02890/K02992/K03217/K03587/K03595/K05592",19
"GO:0071840","GO:0071840","cellular component organization or biogenesis","24/271","66/1630",6.05408510035199e-05,0.00220898729355582,0.00199031075582082,"2607585127/2607585251/2607587034/2607587038/2607588136/2607588300/2607588937/K00075/K01448/K01776/K01921/K02469/K02470/K02520/K02835/K02887/K02890/K02992/K03217/K03431/K03587/K03595/K05592/K07056",24
"GO:0043170","GO:0043170","macromolecule metabolic process","63/271","246/1630",6.11907837550089e-05,0.00220898729355582,0.00199031075582082,"2607585127/2607585186/2607585273/2607585995/2607587034/2607587038/2607587086/2607587313/2607587425/2607587426/2607588300/2607588575/2607588576/2607588784/2607588937/2607589500/K00700/K00962/K01147/K01207/K01776/K01866/K01881/K01885/K01892/K01921/K02316/K02357/K02469/K02470/K02519/K02835/K02864/K02867/K02871/K02878/K02886/K02895/K02945/K02950/K02963/K02967/K02986/K02992/K03076/K03100/K03218/K03431/K03495/K03524/K03544/K03547/K03596/K03605/K03655/K03798/K04567/K04652/K04655/K07056/K08106/K09667/K11356",63
