"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","26/196","53/1033",3.19856307403628e-07,2.30296541330612e-05,1.91913784442177e-05,"K02864/K02867/K02871/K02874/K02876/K02878/K02886/K02887/K02890/K02895/K02906/K02913/K02916/K02926/K02931/K02935/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02988/K02992/K05592",26
"GO:1990904","GO:1990904","ribonucleoprotein complex","25/196","55/1033",3.41461046463523e-06,9.49985122278441e-05,7.91654268565368e-05,"2607587034/2607587038/2607588784/K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02895/K02906/K02913/K02916/K02926/K02931/K02935/K02946/K02952/K02963/K02967/K02982/K02986/K02992",25
"GO:0015934","GO:0015934","large ribosomal subunit","14/196","22/1033",3.95827134282684e-06,9.49985122278441e-05,7.91654268565368e-05,"K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02886/K02887/K02890/K02906/K02916/K02931/K02935",14
"GO:0044391","GO:0044391","ribosomal subunit","19/196","37/1033",6.17773407693839e-06,0.000107505087234226,8.95875726951885e-05,"K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02906/K02916/K02931/K02935/K02946/K02952/K02963/K02967/K02982/K02986/K02992",19
"GO:0043228","GO:0043228","non-membrane-bounded organelle","24/196","54/1033",8.95875726951885e-06,0.000107505087234226,8.95875726951885e-05,"2607588300/K01147/K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02906/K02916/K02931/K02935/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02992/K05592/K23504",24
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","24/196","54/1033",8.95875726951885e-06,0.000107505087234226,8.95875726951885e-05,"2607588300/K01147/K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02906/K02916/K02931/K02935/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02992/K05592/K23504",24
"GO:0043226","GO:0043226","organelle","38/196","117/1033",0.000143407749927349,0.00129066974934614,0.00107555812445512,"2607585338/2607586187/2607588123/2607588155/2607588300/2607588569/2607588784/2607589325/K01147/K02357/K02637/K02835/K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02895/K02906/K02916/K02931/K02935/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02992/K03544/K03798/K05575/K05592/K23504",38
"GO:0043229","GO:0043229","intracellular organelle","38/196","117/1033",0.000143407749927349,0.00129066974934614,0.00107555812445512,"2607585338/2607586187/2607588123/2607588155/2607588300/2607588569/2607588784/2607589325/K01147/K02357/K02637/K02835/K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02895/K02906/K02916/K02931/K02935/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02992/K03544/K03798/K05575/K05592/K23504",38
"GO:0022626","GO:0022626","cytosolic ribosome","14/196","29/1033",0.000268345708707933,0.0019846599991095,0.00165388333259125,"K02864/K02871/K02874/K02876/K02887/K02890/K02906/K02916/K02931/K02935/K02963/K02967/K02982/K02992",14
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","10/196","17/1033",0.000275647222098541,0.0019846599991095,0.00165388333259125,"K02864/K02871/K02874/K02876/K02887/K02890/K02906/K02916/K02931/K02935",10
"GO:0031224","GO:0031224","intrinsic component of membrane","22/196","66/1033",0.00296933618388742,0.0194356550218085,0.0161963791848404,"2607585001/2607585186/2607586793/2607587724/2607587876/2607588576/K02001/K02635/K02637/K03072/K03073/K03076/K03100/K03217/K03587/K05575/K06203/K07301/K09817/K10541/K11356/K14445",22
"GO:0015935","GO:0015935","small ribosomal subunit","9/196","20/1033",0.00647611058042519,0.0388566634825512,0.032380552902126,"K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02988/K02992",9
"GO:0032991","GO:0032991","protein-containing complex","38/196","141/1033",0.00797944243349488,0.0441938350162793,0.0368281958468994,"2607587034/2607587038/2607588300/2607588784/2607589138/2607589310/K00281/K00392/K01147/K02001/K02469/K02637/K02864/K02867/K02871/K02874/K02876/K02878/K02887/K02890/K02906/K02916/K02931/K02935/K02946/K02952/K02963/K02967/K02982/K02986/K02992/K03076/K04077/K05575/K09817/K10697/K13038/K23504",38
