"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map03010","map03010","Ribosome","27/166","143/13565",8.37078007149373e-25,1.0714598491512e-22,9.07568786698794e-23,"K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02886/K02887/K02890/K02895/K02906/K02913/K02916/K02926/K02931/K02935/K02945/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02988/K02992",27
"map03060","map03060","Protein export","8/166","39/13565",1.89236459188191e-08,1.21111333880442e-06,1.02586080507283e-06,"K03072/K03073/K03076/K03100/K03101/K03106/K03110/K03217",8
"map01230","map01230","Biosynthesis of amino acids","12/166","238/13565",3.6236412459401e-05,0.00154608693160111,0.00130959666081344,"K00003/K00133/K00286/K00548/K00611/K00616/K01649/K01693/K01714/K01733/K01755/K01814",12
"map03070","map03070","Bacterial secretion system","6/166","74/13565",0.000285805621305021,0.00787513021670655,0.00667054615395374,"K03072/K03073/K03076/K03106/K03110/K03217",6
"map00860","map00860","Porphyrin metabolism","8/166","139/13565",0.0003076222740901,0.00787513021670655,0.00667054615395374,"K00214/K01885/K02188/K02224/K02232/K02257/K02495/K03594",8
"map00550","map00550","Peptidoglycan biosynthesis","5/166","53/13565",0.000461368713020986,0.00984253254444771,0.0083370135861687,"K00075/K00790/K01921/K01924/K03587",5
"map00970","map00970","Aminoacyl-tRNA biosynthesis","5/166","66/13565",0.0012647223849633,0.0231263521821861,0.0195889331806346,"K01866/K01881/K01885/K01892/K04567",5
"map01240","map01240","Biosynthesis of cofactors","12/166","375/13565",0.00223234570251364,0.0357175312402182,0.0302541588630138,"K00859/K01012/K01495/K01591/K01885/K02188/K02224/K02232/K02257/K02495/K11754/K13038",12
"map03018","map03018","RNA degradation","5/166","79/13565",0.00280866352587978,0.0393142957749302,0.0333007604014622,"K00962/K04043/K04077/K05592/K12574",5
"map00520","map00520","Amino sugar and nucleotide sugar metabolism","7/166","156/13565",0.00307142935741642,0.0393142957749302,0.0333007604014622,"K00075/K00790/K00845/K01207/K01788/K02474/K03431",7
