"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","27/196","55/1180",9.50954061208115e-09,1.49299787609674e-06,1.35135577119048e-06,"K02863/K02864/K02867/K02871/K02874/K02878/K02886/K02887/K02890/K02895/K02906/K02911/K02913/K02916/K02926/K02931/K02935/K02945/K02946/K02950/K02952/K02963/K02967/K02982/K02986/K02988/K02992",27
"GO:0005198","GO:0005198","structural molecule activity","20/196","38/1180",2.20627534894384e-07,1.73192614892092e-05,1.5676166953022e-05,"K02864/K02867/K02871/K02874/K02878/K02886/K02887/K02890/K02906/K02916/K02926/K02931/K02945/K02946/K02950/K02963/K02967/K02982/K02986/K02992",20
"GO:0003723","GO:0003723","RNA binding","29/196","71/1180",4.31802036470664e-07,2.25976399086314e-05,2.04537806749262e-05,"K00962/K01147/K01866/K01892/K02357/K02519/K02520/K02863/K02867/K02871/K02874/K02878/K02886/K02895/K02931/K02945/K02946/K02952/K02963/K02982/K02986/K02988/K02992/K03218/K03437/K03595/K04567/K05592/K12574",29
"GO:0019843","GO:0019843","rRNA binding","17/196","33/1180",2.88363814053458e-06,0.000113182797015982,0.000102445039203202,"K02863/K02867/K02874/K02878/K02886/K02887/K02890/K02895/K02926/K02931/K02950/K02952/K02963/K02982/K02986/K02992/K03595",17
"GO:0005488","GO:0005488","binding","45/196","162/1180",7.54683056146709e-05,0.00236970479630067,0.00214488868589065,"K00075/K00281/K01012/K01495/K01892/K02357/K02469/K02495/K02519/K02520/K02867/K02871/K02874/K02878/K02886/K02931/K02945/K02963/K02986/K02992/K03076/K03110/K03437/K03495/K03530/K03544/K03547/K03587/K03594/K03595/K03596/K04043/K04077/K04078/K04079/K04083/K04567/K04652/K05516/K05575/K05592/K06997/K10697/K13038/K23504",45
"GO:0097159","GO:0097159","organic cyclic compound binding","33/196","108/1180",0.000112685961361731,0.00237703583148979,0.00215152421891466,"K00075/K00281/K01495/K01892/K02357/K02469/K02519/K02520/K02867/K02871/K02874/K02878/K02886/K02931/K02945/K02963/K02986/K02992/K03437/K03495/K03530/K03544/K03547/K03587/K03594/K03595/K04043/K04077/K04567/K05592/K06997/K10697/K13038",33
"GO:1901363","GO:1901363","heterocyclic compound binding","33/196","108/1180",0.000112685961361731,0.00237703583148979,0.00215152421891466,"K00075/K00281/K01495/K01892/K02357/K02469/K02519/K02520/K02867/K02871/K02874/K02878/K02886/K02931/K02945/K02963/K02986/K02992/K03437/K03495/K03530/K03544/K03547/K03587/K03594/K03595/K04043/K04077/K04567/K05592/K06997/K10697/K13038",33
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone","5/196","5/1180",0.000121122844916677,0.00237703583148979,0.00215152421891466,"K03544/K04043/K04077/K04078/K04079",5
"GO:0051082","GO:0051082","unfolded protein binding","7/196","11/1180",0.000573647664263628,0.0100069648099322,0.00905759469889938,"K03544/K04043/K04077/K04078/K04079/K04083/K05516",7
"GO:0003676","GO:0003676","nucleic acid binding","26/196","88/1180",0.00117454221795527,0.0184403128218978,0.0166908630972592,"K00962/K01892/K02357/K02469/K02493/K02519/K02520/K02867/K02871/K02874/K02878/K02886/K02931/K02945/K02952/K02963/K02986/K02992/K03437/K03530/K03547/K03595/K03655/K04567/K05592/K10697",26
"GO:0017111","GO:0017111","ribonucleoside triphosphate phosphatase activity","14/196","37/1180",0.00134086212938039,0.0191377594829747,0.0173221423412778,"K01551/K02469/K03110/K03544/K03655/K03695/K03798/K04043/K04079/K04652/K05592/K06942/K09817/K18890",14
"GO:0140657","GO:0140657","ATP-dependent activity","12/196","30/1180",0.00170794097674041,0.0223455611123537,0.0202256168298206,"K01551/K02469/K03544/K03655/K03695/K03798/K04043/K04079/K05592/K06942/K09817/K18890",12
"GO:0000049","GO:0000049","tRNA binding","8/196","17/1180",0.00315361884382673,0.0380860121908305,0.0344727565924379,"K02863/K02878/K02931/K02946/K02950/K02952/K02992/K04567",8
"GO:0016817","GO:0016817","hydrolase activity, acting on acid anhydrides","15/196","45/1180",0.00392019034753321,0.0410313256375142,0.037138645397683,"K01551/K02469/K03110/K03544/K03655/K03695/K03787/K03798/K04043/K04079/K04652/K05592/K06942/K09817/K18890",15
"GO:0016818","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","15/196","45/1180",0.00392019034753321,0.0410313256375142,0.037138645397683,"K01551/K02469/K03110/K03544/K03655/K03695/K03787/K03798/K04043/K04079/K04652/K05592/K06942/K09817/K18890",15
"GO:0016462","GO:0016462","pyrophosphatase activity","15/196","46/1180",0.00497316419631944,0.0487991736763845,0.0441695504278372,"K01551/K02469/K03110/K03544/K03655/K03695/K03787/K03798/K04043/K04079/K04652/K05592/K06942/K09817/K18890",15
