"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","37/99","56/759",1.54603500887495e-22,9.12160655236223e-21,7.48606425349978e-21,"K02687/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02886/K02887/K02888/K02890/K02892/K02895/K02897/K02899/K02904/K02906/K02913/K02916/K02919/K02926/K02931/K02933/K02935/K02946/K02948/K02950/K02952/K02965/K02967/K02982/K02988/K02992/K02994/K02996",37
"GO:1990904","GO:1990904","ribonucleoprotein complex","31/99","49/759",7.42722168286375e-18,2.19103039644481e-16,1.79816946006175e-16,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02913/K02916/K02919/K02926/K02931/K02933/K02935/K02946/K02948/K02952/K02965/K02967/K02982/K02992/K02994/K02996",31
"GO:0044391","GO:0044391","ribosomal subunit","26/99","37/759",1.17178061874833e-16,2.30450188353839e-15,1.89129503376924e-15,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02946/K02948/K02952/K02965/K02967/K02982/K02992/K02994/K02996",26
"GO:0022626","GO:0022626","cytosolic ribosome","22/99","29/759",2.80782901416816e-15,4.04944603692594e-14,3.32336338445305e-14,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02948/K02965/K02967/K02982/K02992/K02994/K02996",22
"GO:0015934","GO:0015934","large ribosomal subunit","19/99","22/759",3.43173392959826e-15,4.04944603692594e-14,3.32336338445305e-14,"K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02886/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935",19
"GO:0043228","GO:0043228","non-membrane-bounded organelle","27/99","45/759",1.16651193828526e-14,9.83202919411865e-14,8.06910513701084e-14,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02946/K02948/K02950/K02952/K02965/K02967/K02982/K02992/K02994/K02996",27
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","27/99","45/759",1.16651193828526e-14,9.83202919411865e-14,8.06910513701084e-14,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02946/K02948/K02950/K02952/K02965/K02967/K02982/K02992/K02994/K02996",27
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","15/99","17/759",2.20181919018665e-12,1.62384165276265e-11,1.3326800361656e-11,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935",15
"GO:0043226","GO:0043226","organelle","31/99","85/759",2.66872660849783e-09,1.57454869901372e-08,1.29222551569369e-08,"K02835/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02946/K02948/K02950/K02952/K02965/K02967/K02982/K02992/K02994/K02996/K03544/K05575",31
"GO:0043229","GO:0043229","intracellular organelle","31/99","85/759",2.66872660849783e-09,1.57454869901372e-08,1.29222551569369e-08,"K02835/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02946/K02948/K02950/K02952/K02965/K02967/K02982/K02992/K02994/K02996/K03544/K05575",31
"GO:0032991","GO:0032991","protein-containing complex","31/99","92/759",2.62092413147592e-08,1.40576839779163e-07,1.15370823012337e-07,"K02001/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02946/K02948/K02952/K02965/K02967/K02982/K02992/K02994/K02996/K03076/K03439/K05575/K05576",31
"GO:0015935","GO:0015935","small ribosomal subunit","11/99","20/759",6.74834982682504e-06,3.31793866485565e-05,2.72301835117502e-05,"K02946/K02948/K02950/K02952/K02965/K02967/K02982/K02988/K02992/K02994/K02996",11
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","7/99","12/759",0.000239261805479403,0.00108588050179114,0.000891177575064985,"K02948/K02965/K02967/K02982/K02992/K02994/K02996",7
