"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","26/41","56/759",1.85350071225948e-22,6.48725249290817e-21,3.90210676265153e-21,"K02871/K02874/K02876/K02878/K02879/K02881/K02886/K02887/K02890/K02892/K02895/K02897/K02904/K02906/K02916/K02926/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02988/K02992/K02994",26
"GO:1990904","GO:1990904","ribonucleoprotein complex","23/41","49/759",1.29590610748901e-19,2.26783568810577e-18,1.36411169209369e-18,"K02871/K02874/K02876/K02878/K02879/K02881/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02926/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994",23
"GO:0044391","GO:0044391","ribosomal subunit","20/41","37/759",2.07896716203406e-18,2.42546168903973e-17,1.45892432423443e-17,"K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994",20
"GO:0022626","GO:0022626","cytosolic ribosome","18/41","29/759",5.64150473410248e-18,4.93631664233967e-17,2.96921301794867e-17,"K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02956/K02961/K02965/K02982/K02992/K02994",18
"GO:0043228","GO:0043228","non-membrane-bounded organelle","20/41","45/759",3.30774762252228e-16,1.92951944647133e-15,1.16061320088501e-15,"K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994",20
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","20/41","45/759",3.30774762252228e-16,1.92951944647133e-15,1.16061320088501e-15,"K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994",20
"GO:0015934","GO:0015934","large ribosomal subunit","14/41","22/759",3.99259043504855e-14,1.99629521752428e-13,1.20077907821009e-13,"K02871/K02874/K02876/K02878/K02879/K02886/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933",14
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","12/41","17/759",5.82219425986915e-13,2.54720998869275e-12,1.53215638417609e-12,"K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933",12
"GO:0043226","GO:0043226","organelle","22/41","85/759",3.96173557372471e-12,1.38660745080365e-11,8.34049594468359e-12,"K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994/K03644",22
"GO:0043229","GO:0043229","intracellular organelle","22/41","85/759",3.96173557372471e-12,1.38660745080365e-11,8.34049594468359e-12,"K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994/K03644",22
"GO:0032991","GO:0032991","protein-containing complex","21/41","92/759",2.42957567791965e-10,7.73046806610798e-10,4.64990560367397e-10,"K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02956/K02961/K02965/K02982/K02992/K02994/K03076",21
"GO:0015935","GO:0015935","small ribosomal subunit","8/41","20/759",2.82961563590804e-06,8.25304560473179e-06,4.9642379577334e-06,"K02946/K02956/K02961/K02965/K02982/K02988/K02992/K02994",8
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","6/41","12/759",1.25027619478193e-05,3.36612821672059e-05,2.02473877697479e-05,"K02956/K02961/K02965/K02982/K02992/K02994",6
"GO:0030089","GO:0030089","phycobilisome","5/41","13/759",0.000336493690544715,0.000841234226361787,0.000506005549691301,"K02092/K02093/K02094/K02284/K05377",5
"GO:0005829","GO:0005829","cytosol","21/41","226/759",0.00251066324455292,0.00585821423729014,0.00352373788709181,"K01599/K01783/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02956/K02961/K02965/K02982/K02992/K02994/K09748",21
