"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map03010","map03010","Ribosome","7/64","143/13565",4.69697461283375e-06,0.000286515451382859,0.00018787898451335,"K02884/K02902/K02911/K02935/K02954/K02959/K02986",7
"map00195","map00195","Photosynthesis","5/64","63/13565",1.13530398695423e-05,0.000346267716021041,0.000227060797390846,"K02112/K02641/K02692/K02716/K02717",5
"map00860","map00860","Porphyrin metabolism","6/64","139/13565",4.78090442350823e-05,0.000938803629979301,0.000615608937691345,"K00218/K00231/K01749/K04034/K04037/K04038",6
"map01240","map01240","Biosynthesis of cofactors","9/64","375/13565",6.15608937691345e-05,0.000938803629979301,0.000615608937691345,"K00231/K00275/K00789/K01012/K01749/K03635/K04487/K04719/K14652",9
"map00910","map00910","Nitrogen metabolism","4/64","68/13565",0.000292622579452727,0.00356999546932326,0.00234098063562181,"K01915/K02586/K02588/K02591",4
"map01230","map01230","Biosynthesis of amino acids","6/64","238/13565",0.000877836763634683,0.00892467376361928,0.00585224509089789,"K00134/K00789/K01647/K01682/K01807/K01915",6
"map00625","map00625","Chloroalkane and chloroalkene degradation","3/64","43/13565",0.00108042038691822,0.00941509194314451,0.00617383078238985,"K02586/K02588/K02591",3
"map00500","map00500","Starch and sucrose metabolism","4/64","106/13565",0.00156158208685376,0.0108624554437135,0.0071229216024351,"K00703/K00705/K00975/K01208",4
"map01200","map01200","Carbon metabolism","7/64","365/13565",0.0016026573605479,0.0108624554437135,0.0071229216024351,"K00134/K00161/K01007/K01057/K01647/K01682/K01807",7
"map00480","map00480","Glutathione metabolism","3/64","57/13565",0.00244419589973014,0.0149095949883539,0.00977678359892056,"K00682/K01256/K06048",3
"map00020","map00020","Citrate cycle (TCA cycle)","3/64","67/13565",0.00387004834705681,0.0214611771973151,0.0140729030802066,"K00161/K01647/K01682",3
"map00633","map00633","Nitrotoluene degradation","2/64","22/13565",0.00476318169020127,0.0242128402585231,0.0158772723006709,"K23548/K23549",2
"map02030","map02030","Bacterial chemotaxis","2/64","26/13565",0.00662070272048632,0.0310663743038204,0.0203713929861117,"K03406/K03407",2
"map04122","map04122","Sulfur relay system","2/64","29/13565",0.00819602150109553,0.0357112365404876,0.0234172042888444,"K03635/K04487",2
"map02020","map02020","Two-component system","7/64","499/13565",0.00887750341603572,0.0361018472252119,0.0236733424427619,"K01915/K03406/K03407/K08479/K10255/K23548/K23549",7
"map00710","map00710","Carbon fixation in photosynthetic organisms","2/64","36/13565",0.0124517762018678,0.0463848416893086,0.0304162896323335,"K00134/K01807",2
"map00630","map00630","Glyoxylate and dicarboxylate metabolism","3/64","104/13565",0.0130059714159724,0.0463848416893086,0.0304162896323335,"K01647/K01682/K01915",3
"map00010","map00010","Glycolysis / Gluconeogenesis","3/64","106/13565",0.0136873303345501,0.0463848416893086,0.0304162896323335,"K00134/K00161/K01007",3
