"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map00195","map00195","Photosynthesis","14/179","63/13565",6.19190384389576e-14,6.74917518984638e-12,5.14905688071332e-12,"K02108/K02109/K02113/K02114/K02115/K02635/K02637/K02689/K02690/K02691/K02694/K02697/K02699/K02713",14
"map03010","map03010","Ribosome","18/179","143/13565",4.75880681510041e-13,2.59354971422972e-11,1.97866178101543e-11,"K02863/K02864/K02867/K02871/K02887/K02888/K02902/K02913/K02914/K02916/K02945/K02946/K02950/K02952/K02963/K02967/K02968/K02992",18
"map01240","map01240","Biosynthesis of cofactors","25/179","375/13565",2.36921397359162e-11,8.60814410404957e-10,6.56729487416625e-10,"K00228/K00231/K00463/K00595/K00859/K00939/K00954/K01495/K01579/K01633/K01737/K01911/K02191/K02224/K02232/K02495/K02549/K02552/K03149/K04487/K06042/K09903/K11753/K11754/K13038",25
"map03060","map03060","Protein export","7/179","39/13565",6.67207547117627e-07,1.81814056589553e-05,1.38708937427086e-05,"K03072/K03073/K03074/K03101/K03106/K03110/K03217",7
"map00860","map00860","Porphyrin metabolism","10/179","139/13565",1.52736761813043e-05,0.000296379123112915,0.000226112513046067,"K00228/K00231/K00595/K02191/K02224/K02232/K02495/K03594/K04720/K06042",10
"map01230","map01230","Biosynthesis of amino acids","13/179","238/13565",1.63144471438302e-05,0.000296379123112915,0.000226112513046067,"K00133/K00549/K00765/K00948/K01687/K01714/K01733/K01736/K01755/K01803/K01814/K01953/K03786",13
"map00190","map00190","Oxidative phosphorylation","12/179","223/13565",4.02610248453048e-05,0.000626921672591175,0.00047828886658332,"K00341/K02108/K02109/K02113/K02114/K02115/K05574/K05575/K05576/K05578/K05581/K05584",12
"map03070","map03070","Bacterial secretion system","7/179","74/13565",5.29424572402427e-05,0.000721340979898307,0.000550322910786733,"K03072/K03073/K03074/K03106/K03110/K03217/K11003",7
"map00790","map00790","Folate biosynthesis","7/179","84/13565",0.000119298995738351,0.00144484339283115,0.00110229481442453,"K01495/K01633/K01724/K01737/K09457/K10026/K11754",7
"map00770","map00770","Pantothenate and CoA biosynthesis","5/179","44/13565",0.000270799448095141,0.00295171398423704,0.00225191119994907,"K00859/K00954/K01579/K01687/K13038",5
"map00230","map00230","Purine metabolism","10/179","220/13565",0.000682187079023933,0.00675985378305534,0.00515720375530055,"K00602/K00764/K00939/K00942/K00948/K01429/K01768/K03787/K23264/K23265",10
