"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map01230","map01230","Biosynthesis of amino acids","34/240","238/13565",2.02707149413212e-21,3.20277296072876e-19,2.53917376633392e-19,"K00003/K00053/K00134/K00548/K00600/K00611/K00615/K00616/K00789/K00821/K00826/K00873/K00927/K01586/K01620/K01623/K01624/K01647/K01649/K01657/K01682/K01689/K01693/K01695/K01696/K01733/K01735/K01738/K01915/K01940/K03856/K10206/K11358/K15633",34
"map01240","map01240","Biosynthesis of cofactors","32/240","375/13565",1.2720197716947e-13,1.00489561963881e-11,7.966860675351e-12,"K00012/K00254/K00382/K00600/K00609/K00789/K00826/K01012/K01465/K01495/K01698/K01749/K01772/K01885/K01950/K01956/K02230/K02257/K02259/K03635/K03707/K03750/K04487/K04719/K05979/K09458/K11781/K13541/K14652/K18534/K19221/K25570",32
"map00860","map00860","Porphyrin metabolism","20/240","139/13565",4.48524029482601e-13,2.36222655527503e-11,1.87278454415542e-11,"K01698/K01749/K01772/K01885/K02230/K02257/K02259/K03403/K03404/K03428/K04034/K04035/K04037/K04038/K04039/K10960/K13541/K19221/K21231/K21480",20
"map00970","map00970","Aminoacyl-tRNA biosynthesis","14/240","66/13565",6.89773062906885e-12,2.72460359848220e-10,2.16007880226103e-10,"K01869/K01870/K01872/K01873/K01875/K01879/K01881/K01885/K01889/K01890/K01892/K01893/K02434/K04567",14
"map01200","map01200","Carbon metabolism","26/240","365/13565",1.52965796717172e-09,4.83371917626265e-08,3.83219574933548e-08,"K00027/K00033/K00036/K00134/K00161/K00281/K00382/K00600/K00605/K00615/K00616/K00845/K00855/K00873/K00927/K01057/K01595/K01601/K01623/K01624/K01647/K01682/K01689/K01738/K01895/K15633",26
"map00710","map00710","Carbon fixation in photosynthetic organisms","8/240","36/13565",1.68591185458571e-07,4.43956788374236e-06,3.51971071395964e-06,"K00134/K00615/K00855/K00927/K01595/K01601/K01623/K01624",8
"map00630","map00630","Glyoxylate and dicarboxylate metabolism","12/240","104/13565",2.93439130103658e-07,6.62334036519686e-06,5.25101601238125e-06,"K00104/K00281/K00284/K00382/K00600/K00605/K01601/K01647/K01682/K01895/K01915/K11473",12
"map00010","map00010","Glycolysis / Gluconeogenesis","12/240","106/13565",3.62121100271568e-07,7.15189173036346e-06,5.67005407004165e-06,"K00134/K00161/K00382/K00845/K00873/K00927/K01623/K01624/K01689/K01792/K01895/K15633",12
"map00260","map00260","Glycine, serine and threonine metabolism","12/240","109/13565",4.92040552827023e-07,8.63804526074107e-06,6.84828371770944e-06,"K00003/K00276/K00281/K00382/K00600/K00605/K00613/K01620/K01695/K01696/K01733/K15633",12
"map03018","map03018","RNA degradation","9/240","79/13565",1.02472539984738e-05,0.000161906613175886,0.00012836033955983,"K00937/K00962/K01689/K03654/K04043/K04077/K05592/K12573/K12574",9
