"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","33/103","53/1033",2.32204454950968e-22,1.25390405673523e-20,9.53260394009238e-21,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02886/K02887/K02888/K02890/K02892/K02895/K02899/K02904/K02906/K02913/K02916/K02926/K02931/K02933/K02935/K02950/K02952/K02961/K02965/K02967/K02982/K02988/K02992/K02994/K02996",33
"GO:0044391","GO:0044391","ribosomal subunit","25/103","37/1033",3.79542867730331e-18,1.02476574287189e-16,7.79061675867521e-17,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996",25
"GO:1990904","GO:1990904","ribonucleoprotein complex","30/103","55/1033",6.23221181010429e-18,1.12179812581877e-16,8.52828984540587e-17,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02887/K02888/K02890/K02892/K02895/K02899/K02904/K02906/K02913/K02916/K02926/K02931/K02933/K02935/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996",30
"GO:0022626","GO:0022626","cytosolic ribosome","22/103","29/1033",9.34326896878027e-18,1.26134131078534e-16,9.5891444679587e-17,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02961/K02965/K02967/K02982/K02992/K02994/K02996",22
"GO:0015934","GO:0015934","large ribosomal subunit","19/103","22/1033",2.29320807388768e-17,2.4766647197987e-16,1.88284452382357e-16,"K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02886/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935",19
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","15/103","17/1033",4.17268349638305e-14,3.75541514674475e-13,2.85499397120946e-13,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935",15
"GO:0043228","GO:0043228","non-membrane-bounded organelle","26/103","54/1033",8.65739844193516e-14,5.84374394830623e-13,4.44261235836146e-13,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02950/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996",26
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","26/103","54/1033",8.65739844193516e-14,5.84374394830623e-13,4.44261235836146e-13,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02950/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996",26
"GO:0043226","GO:0043226","organelle","31/103","117/1033",2.91060635244969e-08,1.57172743032283e-07,1.19488050258461e-07,"2607588155/2607589325/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02950/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996/K03544/K05575",31
"GO:0043229","GO:0043229","intracellular organelle","31/103","117/1033",2.91060635244969e-08,1.57172743032283e-07,1.19488050258461e-07,"2607588155/2607589325/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02950/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996/K03544/K05575",31
"GO:0015935","GO:0015935","small ribosomal subunit","10/103","20/1033",5.03821299279784e-06,2.47330456010076e-05,1.88029001645087e-05,"K02950/K02952/K02961/K02965/K02967/K02982/K02988/K02992/K02994/K02996",10
"GO:0032991","GO:0032991","protein-containing complex","29/103","141/1033",3.11158180532716e-05,0.000140021181239722,0.000106448851234877,"K02001/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996/K03076/K03439/K05575",29
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","7/103","12/1033",4.19765628661004e-05,0.000174364184213033,0.00013255756694558,"K02961/K02965/K02967/K02982/K02992/K02994/K02996",7
"GO:0005829","GO:0005829","cytosol","39/103","263/1033",0.00230055956343351,0.00887358688752926,0.00674600172736143,"2607589500/K00075/K01591/K01661/K01755/K01756/K01788/K01803/K01866/K01881/K02355/K02518/K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02935/K02952/K02961/K02965/K02967/K02982/K02992/K02994/K02996/K03147/K03530/K04751/K14441",39
