"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","42/289","53/1033",2.065036396794e-15,1.30097292998022e-13,1.02164958578229e-13,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02886/K02887/K02888/K02890/K02892/K02895/K02897/K02899/K02904/K02906/K02909/K02913/K02916/K02926/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02970/K02982/K02988/K02992/K02994/K02996/K05808/K19032",42
"GO:0044391","GO:0044391","ribosomal subunit","30/289","37/1033",1.11715371422365e-11,2.52338150998062e-10,1.98160285662639e-10,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02992/K02994/K02996/K05808",30
"GO:1990904","GO:1990904","ribonucleoprotein complex","39/289","55/1033",1.20161024284792e-11,2.52338150998062e-10,1.98160285662639e-10,"K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02881/K02887/K02888/K02890/K02892/K02895/K02899/K02904/K02906/K02909/K02913/K02916/K02926/K02931/K02933/K02946/K02948/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02970/K02982/K02992/K02994/K02996/K03536/K05808/K19032",39
"GO:0022626","GO:0022626","cytosolic ribosome","25/289","29/1033",5.06101071038694e-11,7.97109186885943e-10,6.25967114179437e-10,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02948/K02956/K02961/K02963/K02965/K02967/K02982/K02992/K02994/K02996/K05808",25
"GO:0015934","GO:0015934","large ribosomal subunit","18/289","22/1033",1.69827099181377e-07,1.54823855049053e-06,1.21582643062748e-06,"K02863/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02886/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933",18
"GO:0043228","GO:0043228","non-membrane-bounded organelle","33/289","54/1033",1.72026505610058e-07,1.54823855049053e-06,1.21582643062748e-06,"2607585806/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02992/K02994/K02996/K03584/K05808",33
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","33/289","54/1033",1.72026505610058e-07,1.54823855049053e-06,1.21582643062748e-06,"2607585806/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02992/K02994/K02996/K03584/K05808",33
"GO:0015935","GO:0015935","small ribosomal subunit","16/289","20/1033",1.56848168436188e-06,1.23517932643498e-05,9.69982094276428e-06,"K02946/K02948/K02950/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02988/K02992/K02994/K02996/K05808",16
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","14/289","17/1033",4.06776511938906e-06,2.84743558357234e-05,2.23608141065831e-05,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933",14
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","11/289","12/1033",6.44056511284006e-06,4.05755602108924e-05,3.18638484529982e-05,"K02948/K02956/K02961/K02963/K02965/K02967/K02982/K02992/K02994/K02996/K05808",11
"GO:0043226","GO:0043226","organelle","47/289","117/1033",0.00168328989135723,0.00883727192962547,0.00693987937664824,"2607585585/2607585806/2607587887/2607588155/2607588913/2607589325/2607589937/K01868/K02115/K02634/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02992/K02994/K02996/K03544/K03584/K03644/K03801/K04708/K05808",47
"GO:0043229","GO:0043229","intracellular organelle","47/289","117/1033",0.00168328989135723,0.00883727192962547,0.00693987937664824,"2607585585/2607585806/2607587887/2607588155/2607588913/2607589325/2607589937/K01868/K02115/K02634/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02899/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02992/K02994/K02996/K03544/K03584/K03644/K03801/K04708/K05808",47
"GO:0031676","GO:0031676","plasma membrane-derived thylakoid membrane","24/289","54/1033",0.00577461113490855,0.0279846539614799,0.0219762529020811,"2607587007/K02108/K02109/K02110/K02113/K02114/K02115/K02634/K02635/K02636/K02689/K02690/K02691/K02693/K02697/K02699/K02707/K02711/K02713/K02719/K02720/K02723/K05574/K05581",24
"GO:0032991","GO:0032991","protein-containing complex","52/289","141/1033",0.00844386372841631,0.0379973867778734,0.0298392176868847,"2607585806/2607587255/2607587577/2607587770/2607587912/2607588519/2607588811/K00948/K01358/K02001/K02109/K02110/K02113/K02340/K02864/K02867/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02899/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02952/K02956/K02961/K02963/K02965/K02967/K02968/K02982/K02992/K02994/K02996/K03076/K03470/K03536/K03657/K05574/K05576/K05808/K11332/K11521",52
