"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","32/108","53/1033",2.53834263765778e-20,1.19302103969916e-18,8.55020677947884e-19,"K02864/K02871/K02874/K02876/K02878/K02879/K02881/K02886/K02887/K02890/K02892/K02895/K02897/K02904/K02906/K02913/K02916/K02926/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02965/K02982/K02988/K02990/K02992/K02994",32
"GO:0044391","GO:0044391","ribosomal subunit","24/108","37/1033",2.87954105309309e-16,6.76692147476877e-15,4.84975335257784e-15,"K02864/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994",24
"GO:0022626","GO:0022626","cytosolic ribosome","21/108","29/1033",8.42196912281346e-16,1.31944182924077e-14,9.45624603263265e-15,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02948/K02956/K02961/K02965/K02982/K02990/K02992/K02994",21
"GO:1990904","GO:1990904","ribonucleoprotein complex","28/108","55/1033",4.64218906373648e-15,5.45457214989036e-14,3.90921184314651e-14,"K02864/K02871/K02874/K02876/K02878/K02879/K02881/K02887/K02890/K02892/K02895/K02904/K02906/K02913/K02916/K02926/K02931/K02933/K02946/K02948/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994",28
"GO:0043228","GO:0043228","non-membrane-bounded organelle","25/108","54/1033",2.98775224705459e-12,2.08934848528966e-11,1.49740540939013e-11,"K02864/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994",25
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","25/108","54/1033",2.98775224705459e-12,2.08934848528966e-11,1.49740540939013e-11,"K02864/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994",25
"GO:0015934","GO:0015934","large ribosomal subunit","16/108","22/1033",3.11179561638886e-12,2.08934848528966e-11,1.49740540939013e-11,"K02863/K02864/K02871/K02874/K02876/K02878/K02879/K02886/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933",16
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","13/108","17/1033",1.50299557023384e-10,8.83009897512379e-10,6.32840240098458e-10,"K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933",13
"GO:0015935","GO:0015935","small ribosomal subunit","12/108","20/1033",5.87254144816141e-08,3.06677164515096e-07,2.19791024960427e-07,"K02946/K02948/K02950/K02952/K02956/K02961/K02965/K02982/K02988/K02990/K02992/K02994",12
"GO:0043226","GO:0043226","organelle","30/108","117/1033",4.02997352000737e-07,1.72189777673042e-06,1.23405887694006e-06,"2607586187/K02634/K02864/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994/K03644/K04708",30
"GO:0043229","GO:0043229","intracellular organelle","30/108","117/1033",4.02997352000737e-07,1.72189777673042e-06,1.23405887694006e-06,"2607586187/K02634/K02864/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02950/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994/K03644/K04708",30
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","8/108","12/1033",3.87431043065877e-06,1.51743825200802e-05,1.08752573492176e-05,"K02948/K02956/K02961/K02965/K02982/K02990/K02992/K02994",8
"GO:0032991","GO:0032991","protein-containing complex","29/108","141/1033",8.38434445658257e-05,0.000303126299584139,0.000217246172154366,"2607587770/2607589138/K02864/K02871/K02874/K02876/K02878/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02946/K02948/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994/K03076/K03657/K04077",29
"GO:0030089","GO:0030089","phycobilisome","7/108","16/1033",0.00058254580055488,0.00195568947329138,0.00140161395622227,"K02092/K02093/K02096/K02284/K05377/K05378/K05380",7
"GO:0005829","GO:0005829","cytosol","42/108","263/1033",0.000799861532212753,0.00250623280093329,0.00179618028286373,"2607585344/2607586693/2607587770/2607589138/K00075/K00864/K00939/K01322/K01756/K01783/K01866/K01878/K01937/K02518/K02837/K02864/K02871/K02874/K02876/K02879/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02948/K02952/K02956/K02961/K02965/K02982/K02990/K02992/K02994/K03595/K03657/K04077/K09748/K13799",42
