"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map01200","map01200","Carbon metabolism","12/79","365/13565",1.21497566451969e-06,0.000130002396103607,0.000101034818417953,"K00027/K00036/K00845/K00873/K01007/K01623/K01647/K01738/K01810/K01895/K01902/K03841",12
"map00010","map00010","Glycolysis / Gluconeogenesis","7/79","106/13565",2.66128066970149e-06,0.00014237851582903,0.000110653248898115,"K00845/K00873/K01007/K01623/K01810/K01895/K03841",7
"map00906","map00906","Carotenoid biosynthesis","5/79","56/13565",1.78472464660576e-05,0.00063655179062272,0.000494713147655631,"K00514/K02291/K02293/K02294/K09835",5
"map00195","map00195","Photosynthesis","5/79","63/13565",3.18133745984742e-05,0.000851007770509186,0.000661383314020912,"K02638/K02692/K02703/K02705/K02706",5
"map00970","map00970","Aminoacyl-tRNA biosynthesis","5/79","66/13565",3.99025408271602e-05,0.000853914373701228,0.000663642257967507,"K01873/K01879/K01892/K02434/K02435",5
"map00791","map00791","Atrazine degradation","3/79","16/13565",0.000100806867743915,0.00179772247476649,0.00139714781609988,"K01428/K01429/K01430",3
"map00520","map00520","Amino sugar and nucleotide sugar metabolism","6/79","156/13565",0.000292391134353196,0.00395878225902442,0.00307667288207506,"K00012/K00845/K01784/K01810/K04042/K08678",6
"map01240","map01240","Biosynthesis of cofactors","9/79","375/13565",0.000319705883414646,0.00395878225902442,0.00307667288207506,"K00012/K00763/K01495/K01772/K02232/K03149/K05928/K09833/K11752",9
"map00480","map00480","Glutathione metabolism","4/79","57/13565",0.000332981685338503,0.00395878225902442,0.00307667288207506,"K00036/K00383/K00799/K06048",4
"map01250","map01250","Biosynthesis of nucleotide sugars","6/79","211/13565",0.00142682420506677,0.0152670189942145,0.0118651697052921,"K00012/K00845/K01784/K01810/K04042/K08678",6
"map00030","map00030","Pentose phosphate pathway","4/79","88/13565",0.0017153665439288,0.0157321387606547,0.0122266498976067,"K00036/K01623/K01810/K03841",4
"map00230","map00230","Purine metabolism","6/79","220/13565",0.00176435201054071,0.0157321387606547,0.0122266498976067,"K00764/K01139/K01428/K01429/K01430/K03787",6
"map00760","map00760","Nicotinate and nicotinamide metabolism","4/79","95/13565",0.0022711022618108,0.0186929186164427,0.0145276986787897,"K00135/K00763/K03787/K20454",4
"map00220","map00220","Arginine biosynthesis","3/79","60/13565",0.00512550390972857,0.0391734941672112,0.03044472247132,"K01428/K01429/K01430",3
