"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005840","GO:0005840","ribosome","40/122","56/759",2.2574323835182e-22,1.1287161917591e-20,7.84160722695796e-21,"K02871/K02874/K02876/K02878/K02879/K02881/K02884/K02886/K02887/K02888/K02890/K02892/K02895/K02897/K02902/K02904/K02906/K02916/K02926/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02988/K02990/K02992/K02994/K02996/K05808/K19032",40
"GO:0044391","GO:0044391","ribosomal subunit","31/122","37/759",7.49443574823724e-21,1.69400690127134e-19,1.17688900509377e-19,"K02871/K02874/K02876/K02878/K02879/K02884/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02990/K02992/K02994/K02996/K05808",31
"GO:1990904","GO:1990904","ribonucleoprotein complex","36/122","49/759",1.0164041407628e-20,1.69400690127134e-19,1.17688900509377e-19,"K02871/K02874/K02876/K02878/K02879/K02881/K02884/K02887/K02890/K02892/K02895/K02902/K02904/K02906/K02916/K02926/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02990/K02992/K02994/K02996/K05808/K19032",36
"GO:0022626","GO:0022626","cytosolic ribosome","25/122","29/759",2.08005099555071e-17,2.60006374443839e-16,1.80636007508352e-16,"K02871/K02874/K02876/K02879/K02884/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02935/K02939/K02956/K02961/K02965/K02967/K02982/K02990/K02992/K02994/K02996/K05808",25
"GO:0043228","GO:0043228","non-membrane-bounded organelle","31/122","45/759",1.89156816574547e-16,1.57630680478789e-15,1.09511841174738e-15,"K02871/K02874/K02876/K02878/K02879/K02884/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02990/K02992/K02994/K02996/K05808",31
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","31/122","45/759",1.89156816574547e-16,1.57630680478789e-15,1.09511841174738e-15,"K02871/K02874/K02876/K02878/K02879/K02884/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02990/K02992/K02994/K02996/K05808",31
"GO:0015934","GO:0015934","large ribosomal subunit","18/122","22/759",6.94454142728815e-12,4.96038673377725e-11,3.44616341504525e-11,"K02871/K02874/K02876/K02878/K02879/K02884/K02886/K02887/K02890/K02892/K02904/K02906/K02911/K02916/K02931/K02933/K02935/K02939",18
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","15/122","17/759",5.89391623662458e-11,3.68369764789037e-10,2.55920047116594e-10,"K02871/K02874/K02876/K02879/K02884/K02887/K02890/K02892/K02904/K02906/K02916/K02931/K02933/K02935/K02939",15
"GO:0043226","GO:0043226","organelle","37/122","85/759",9.12453878560289e-11,4.56226939280144e-10,3.16957663078837e-10,"K01462/K02112/K02871/K02874/K02876/K02878/K02879/K02884/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02990/K02992/K02994/K02996/K03644/K05808/K13819/K22074",37
"GO:0043229","GO:0043229","intracellular organelle","37/122","85/759",9.12453878560289e-11,4.56226939280144e-10,3.16957663078837e-10,"K01462/K02112/K02871/K02874/K02876/K02878/K02879/K02884/K02887/K02890/K02892/K02895/K02904/K02906/K02916/K02931/K02933/K02935/K02939/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02990/K02992/K02994/K02996/K03644/K05808/K13819/K22074",37
