"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map03010","map03010","Ribosome","38/144","143/13565",1.43983102338542e-43,1.15186481870834e-41,8.63898614031252e-42,"K02871/K02874/K02876/K02878/K02879/K02881/K02884/K02886/K02887/K02888/K02890/K02892/K02895/K02897/K02902/K02904/K02906/K02911/K02926/K02931/K02933/K02935/K02945/K02946/K02952/K02954/K02956/K02959/K02961/K02965/K02967/K02982/K02986/K02988/K02990/K02992/K02994/K02996",38
"map00195","map00195","Photosynthesis","13/144","63/13565",8.34408993101701e-14,3.3376359724068e-12,2.5032269793051e-12,"K02112/K02641/K02689/K02690/K02691/K02692/K02693/K02694/K02699/K02716/K02717/K02720/K08906",13
"map00860","map00860","Porphyrin metabolism","16/144","139/13565",1.39002092916439e-12,3.70672247777171e-11,2.78004185832879e-11,"K00218/K00231/K01599/K01749/K02492/K03403/K03795/K04034/K04035/K04037/K04038/K04039/K05369/K05371/K10960/K21480",16
"map00196","map00196","Photosynthesis - antenna proteins","9/144","42/13565",4.40669990765732e-10,8.81339981531464e-09,6.61004986148598e-09,"K02092/K02093/K02094/K02096/K02097/K02284/K05376/K05377/K05380",9
"map01240","map01240","Biosynthesis of cofactors","16/144","375/13565",2.31831643944341e-06,3.70930630310945e-05,2.78197972733209e-05,"K00231/K00275/K00609/K00789/K00858/K01012/K01599/K01749/K02492/K02552/K03635/K03795/K04487/K04719/K05979/K14652",16
"map01230","map01230","Biosynthesis of amino acids","11/144","238/13565",4.63352942885831e-05,0.000617803923847774,0.000463352942885831,"K00134/K00549/K00789/K00948/K01647/K01653/K01682/K01687/K01783/K01807/K01915",11
"map00290","map00290","Valine, leucine and isoleucine biosynthesis","3/144","19/13565",0.00100217768488336,0.0114534592558098,0.00859009444185735,"K00835/K01653/K01687",3
"map00030","map00030","Pentose phosphate pathway","5/144","88/13565",0.00243130193734959,0.0243130193734959,0.018234764530122,"K00948/K01057/K01783/K01807/K01810",5
"map00450","map00450","Selenocompound metabolism","3/144","33/13565",0.00506305094687446,0.0390967496465683,0.0293225622349262,"K00549/K00958/K01874",3
"map00500","map00500","Starch and sucrose metabolism","5/144","106/13565",0.00540525685979233,0.0390967496465683,0.0293225622349262,"K00703/K00705/K00975/K01208/K01810",5
"map01200","map01200","Carbon metabolism","10/144","365/13565",0.00556324601501953,0.0390967496465683,0.0293225622349262,"K00134/K00161/K00948/K01007/K01057/K01647/K01682/K01783/K01807/K01810",10
"map00910","map00910","Nitrogen metabolism","4/144","68/13565",0.00586451244698525,0.0390967496465683,0.0293225622349262,"K01915/K02586/K02588/K02591",4
"map00710","map00710","Carbon fixation in photosynthetic organisms","3/144","36/13565",0.0064742542674356,0.0398415647226806,0.0298811735420105,"K00134/K01783/K01807",3
