"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map00860","map00860","Porphyrin metabolism","13/99","139/13565",2.2705607713793e-11,2.06869563563502e-09,1.70790145356864e-09,"K01698/K03403/K03404/K03428/K04034/K04035/K04037/K04038/K04039/K10960/K13541/K21231/K21480",13
"map00970","map00970","Aminoacyl-tRNA biosynthesis","10/99","66/13565",4.05626595222553e-11,2.06869563563502e-09,1.70790145356864e-09,"K01869/K01870/K01872/K01875/K01879/K01889/K01890/K01893/K02434/K04567",10
"map01230","map01230","Biosynthesis of amino acids","14/99","238/13565",1.81038330194449e-09,6.15530322661125e-08,5.08177768966873e-08,"K00053/K00600/K00615/K00821/K00927/K01620/K01623/K01624/K01695/K01696/K01738/K01940/K03856/K10206",14
"map01240","map01240","Biosynthesis of cofactors","15/99","375/13565",8.29513485163623e-08,2.11525938716724e-06,1.74634417929184e-06,"K00012/K00382/K00600/K00609/K01465/K01698/K01956/K03635/K03750/K04719/K05979/K13541/K14652/K18534/K25570",15
"map00710","map00710","Carbon fixation in photosynthetic organisms","4/99","36/13565",0.000131425516729018,0.00243616933519521,0.00201128531285466,"K00615/K00927/K01623/K01624",4
"map00260","map00260","Glycine, serine and threonine metabolism","6/99","109/13565",0.000143304078540895,0.00243616933519521,0.00201128531285466,"K00382/K00600/K00613/K01620/K01695/K01696",6
"map00010","map00010","Glycolysis / Gluconeogenesis","5/99","106/13565",0.00105906370304369,0.0154320711014938,0.0127406159764655,"K00382/K00927/K01623/K01624/K01895",5
"map00250","map00250","Alanine, aspartate and glutamate metabolism","4/99","70/13565",0.00169276537556379,0.0215827585384383,0.0178185829006715,"K00609/K01940/K01956/K13821",4
"map00196","map00196","Photosynthesis - antenna proteins","3/99","42/13565",0.00352186548555641,0.0399144755029727,0.0329531273502354,"K02290/K05376/K05380",3
"map03420","map03420","Nucleotide excision repair","3/99","47/13565",0.00484545914049696,0.0481563239759626,0.0397575430142106,"K02335/K03701/K03702",3
"map01200","map01200","Carbon metabolism","8/99","365/13565",0.00519332905623127,0.0481563239759626,0.0397575430142106,"K00382/K00600/K00615/K00927/K01623/K01624/K01738/K01895",8
