"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map00195","map00195","Photosynthesis","20/166","63/13565",1.51061006287387e-23,1.6012466666463e-21,1.3515984773082e-21,"K02108/K02109/K02113/K02114/K02115/K02634/K02635/K02636/K02689/K02690/K02694/K02697/K02711/K02712/K02713/K02719/K02720/K02723/K02724/K08906",20
"map01240","map01240","Biosynthesis of cofactors","27/166","375/13565",8.58583121481562e-14,4.55049054385228e-12,3.84102975399646e-12,"K00595/K00767/K00858/K00859/K00939/K00940/K00941/K00954/K01579/K01633/K01737/K01756/K01937/K02191/K02227/K02231/K02372/K02495/K02549/K02552/K03525/K03638/K03801/K06042/K09903/K11753/K12073",27
"map03010","map03010","Ribosome","14/166","143/13565",2.20904730508234e-09,7.80530047795759e-08,6.58838669936838e-08,"K02863/K02881/K02895/K02897/K02913/K02931/K02933/K02948/K02950/K02965/K02968/K02970/K02982/K02992",14
"map01232","map01232","Nucleotide metabolism","10/166","123/13565",2.6244941309669e-06,6.95490944706229e-05,5.87057897716281e-05,"K00759/K00761/K00939/K00940/K00942/K01519/K01756/K01937/K02825/K09903",10
"map00860","map00860","Porphyrin metabolism","9/166","139/13565",5.21576025516876e-05,0.00110574117409578,0.000933346571977568,"K00595/K02191/K02227/K02231/K02495/K03594/K04720/K05370/K06042",9
"map00770","map00770","Pantothenate and CoA biosynthesis","5/166","44/13565",0.00019077235458746,0.0033703115977118,0.00284485090174283,"K00859/K00954/K01579/K01687/K03525",5
"map00230","map00230","Purine metabolism","10/166","220/13565",0.000377270858169552,0.00571295870942464,0.00482225908938525,"K00759/K00939/K00940/K00942/K00948/K01429/K01519/K01756/K01768/K23264",10
"map04112","map04112","Cell cycle - Caulobacter","4/166","31/13565",0.000525866307843618,0.00696772857892794,0.00588139949561942,"K02488/K03544/K03588/K11443",4
"map01230","map01230","Biosynthesis of amino acids","10/166","238/13565",0.000697607409506738,0.00821626504530158,0.00693527834012546,"K00013/K00549/K00765/K00948/K01687/K01714/K01736/K01953/K03786/K06208",10
"map00730","map00730","Thiamine metabolism","4/166","36/13565",0.000938777854969381,0.00995104526267544,0.00839959133393657,"K00939/K00941/K01662/K20896",4
"map03060","map03060","Protein export","4/166","39/13565",0.00127405540341338,0.0122772611601653,0.0103631300756112,"K03073/K03074/K03116/K03217",4
"map03430","map03430","Mismatch repair","4/166","44/13565",0.00200546751101334,0.0171882205059314,0.0145084284310245,"K02338/K02340/K03657/K06223",4
"map03070","map03070","Bacterial secretion system","5/166","74/13565",0.00210798930733121,0.0171882205059314,0.0145084284310245,"K03073/K03074/K03116/K03217/K12340",5
"map00790","map00790","Folate biosynthesis","5/166","84/13565",0.00366417220006366,0.0277430180861963,0.0234176418801061,"K01633/K01737/K03638/K09457/K10026",5
