"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"map00195","map00195","Photosynthesis","11/83","63/13565",1.07982882333346e-13,7.45081888100085e-12,6.02430817228139e-12,"K02108/K02109/K02113/K02114/K02115/K02635/K02689/K02690/K02694/K02697/K02713",11
"map01240","map01240","Biosynthesis of cofactors","14/83","375/13565",5.59840265650936e-08,1.93144891649573e-06,1.56165968839472e-06,"K00595/K00859/K00939/K00954/K01579/K01633/K01737/K02191/K02495/K02549/K02552/K06042/K09903/K11753",14
"map01230","map01230","Biosynthesis of amino acids","8/83","238/13565",0.000101415845946186,0.00233256445676228,0.00188597888952556,"K00549/K00765/K00948/K01687/K01714/K01736/K01953/K03786",8
"map00770","map00770","Pantothenate and CoA biosynthesis","4/83","44/13565",0.000146821938840834,0.00253267844500439,0.00204777967330637,"K00859/K00954/K01579/K01687",4
"map00860","map00860","Porphyrin metabolism","6/83","139/13565",0.000205287519774451,0.00283296777288743,0.00229057653643072,"K00595/K02191/K02495/K03594/K04720/K06042",6
"map00190","map00190","Oxidative phosphorylation","7/83","223/13565",0.000425134945032767,0.00488905186787682,0.00395300913802398,"K02108/K02109/K02113/K02114/K02115/K05574/K05581",7
"map03060","map03060","Protein export","3/83","39/13565",0.00172219812491008,0.0139758838150802,0.0113001043813768,"K03073/K03074/K03217",3
"map00790","map00790","Folate biosynthesis","4/83","84/13565",0.00173391710409968,0.0139758838150802,0.0113001043813768,"K01633/K01737/K09457/K10026",4
"map03010","map03010","Ribosome","5/83","143/13565",0.00182294136718438,0.0139758838150802,0.0113001043813768,"K02863/K02913/K02950/K02968/K02992",5
"map00230","map00230","Purine metabolism","6/83","220/13565",0.00227113575644859,0.0156708367194953,0.0126705468517658,"K00939/K00942/K00948/K01429/K01768/K23264",6
