gene_id,KO,L22-1,L22-2,L22-3,R22-1,R22-2,R22-3,L27-1,L27-2,L27-3,R27-1,R27-2,R27-3,L32-1,L32-2,L32-3,R32-1,R32-2,R32-3
2641943186,NA,43,23,9,24,41,36,12,3,5,39,32,26,45,57,35,43,37,31
2641943187,NA,51,22,9,24,28,23,2,1,2,29,31,19,44,49,44,26,25,36
2641943188,NA,474,274,185,355,472,419,170,97,36,619,523,522,399,352,295,432,429,459
2641943189,NA,7,4,1,6,3,3,1,0,0,12,7,6,9,7,1,2,2,0
2641943190,K00053,1052,583,440,759,845,892,499,360,168,1936,1418,1401,1540,1384,1071,1295,1163,1121
2641943191,NA,18,9,1,17,19,36,0,0,0,39,59,30,23,15,6,19,24,11
2641943192,NA,45,21,8,23,40,33,7,7,2,66,48,34,46,42,28,54,73,56
2641943193,K00766,6,5,6,17,12,24,7,4,3,32,20,10,18,10,11,22,19,16
2641943194,NA,79,22,12,59,65,88,10,5,3,87,64,49,83,80,49,43,38,55
2641943195,NA,725,314,180,479,547,548,120,66,18,592,408,368,481,398,315,353,351,360
2641943196,NA,358,155,85,209,249,272,50,20,11,328,191,172,248,182,107,117,129,111
2641943197,K04077,12590,5830,4154,17936,18665,19367,7423,4769,1818,18116,13654,14882,24590,23967,19360,13038,13126,11836
2641943198,K04078,3672,1668,995,5082,5542,5681,1760,1138,385,5247,3646,4271,7221,6713,5157,3584,3803,3390
2641943199,NA,93,40,11,58,58,89,12,7,0,68,52,53,89,69,47,27,30,38
2641943200,NA,31,12,2,31,41,34,3,1,0,24,24,19,23,17,14,7,13,14
2641943201,NA,248,99,43,185,163,244,40,33,7,222,166,178,251,224,144,136,140,123
2641943202,NA,56,20,8,52,50,65,7,4,2,38,33,34,41,24,21,28,25,31
2641943203,NA,87,38,17,47,36,54,18,8,5,64,36,60,133,113,52,35,50,42
2641943204,NA,28,6,4,11,17,17,1,3,0,33,18,19,62,39,14,16,21,19
2641943205,NA,127,49,19,79,64,94,14,14,1,125,85,90,154,125,105,80,67,82
2641943206,NA,274,115,69,194,221,283,68,55,14,297,208,224,419,419,274,281,307,269
2641943207,NA,31,5,5,23,22,28,9,3,0,41,37,36,57,40,15,28,25,22
2641943208,NA,423,211,135,332,391,365,194,130,48,685,493,478,698,638,483,558,465,522
2641943209,NA,75,39,9,53,42,89,9,7,3,88,65,62,48,46,34,30,34,25
2641943210,NA,93,35,15,77,70,97,11,9,3,156,83,90,91,53,27,42,46,44
2641943211,K01772,2318,1176,630,955,1206,1146,510,284,102,1523,1265,1210,1823,1534,1181,1328,1175,1286
2641943212,NA,64,34,8,31,30,45,11,8,1,85,65,65,69,53,41,49,61,50
2641943213,NA,103,47,25,73,62,96,45,27,9,325,183,150,140,109,85,148,211,175
2641943214,NA,11,3,3,6,4,11,2,0,1,27,8,10,24,17,10,11,11,13
2641943215,NA,3,2,1,3,3,2,1,1,1,5,4,3,9,11,7,5,5,6
2641943216,K04758,4,3,0,1,0,1,1,1,0,12,3,2,13,6,4,3,3,3
2641943217,K04759,178,59,38,62,71,105,19,10,3,94,70,88,164,97,59,67,63,50
2641943218,NA,15,18,8,24,25,32,7,6,3,47,36,40,15,27,18,22,31,22
2641943219,NA,142,86,49,128,138,132,31,36,15,208,176,199,155,201,132,193,172,162
2641943220,NA,53,39,6,26,31,50,18,2,3,69,45,43,78,70,29,47,40,35
2641943221,K25026,165,51,27,77,96,98,28,10,5,154,99,138,217,205,112,105,126,105
2641943222,NA,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,1,1
2641943223,NA,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
2641943224,NA,29,4,3,18,14,26,2,0,0,57,32,37,18,17,19,23,22,24
2641943225,K01937,443,196,47,325,355,505,70,36,7,683,529,507,531,457,279,386,444,320
2641943226,NA,238,94,34,126,174,229,21,17,1,310,226,200,204,208,131,157,189,151
2641943227,K01056,1099,393,99,512,612,838,83,65,12,1589,1081,941,1141,1012,613,788,959,798
2641943228,K03116,776,256,109,425,478,567,106,60,15,846,630,561,720,595,401,661,608,559
2641943229,K02709,549,217,90,333,335,402,153,70,17,898,639,621,867,648,418,588,531,526
2641943230,K02715,1390,564,213,683,839,837,211,82,52,1076,781,739,1258,950,491,678,660,729
2641943231,NA,5,3,0,6,9,4,0,1,0,10,11,7,5,12,3,3,8,5
2641943232,NA,424,188,61,149,201,260,41,25,4,292,281,237,444,347,200,219,253,217
2641943233,K01736,239,94,36,103,111,157,21,19,3,168,127,138,259,221,133,123,129,96
2641943234,K00784,297,128,63,154,171,177,43,32,7,176,186,171,314,333,206,150,160,141
2641943235,K05838,92,30,14,53,50,62,20,14,8,107,100,123,203,165,122,118,158,116
2641943236,K17836,239,76,47,93,102,117,42,23,5,236,167,132,319,255,179,213,219,193
2641943237,NA,1,0,1,0,2,1,2,0,0,3,2,0,2,1,1,1,1,1
2641943238,NA,51,22,1,21,25,25,2,1,0,49,31,31,52,25,13,17,29,20
2641943239,NA,25,11,2,14,30,18,2,3,4,16,13,12,21,22,10,10,17,6
2641943240,NA,30,19,4,19,18,27,3,6,0,30,28,20,49,29,15,13,28,14
2641943241,NA,107,40,11,65,76,70,11,6,4,87,76,96,140,110,67,32,67,49
2641943242,NA,1042,443,156,523,556,722,248,130,45,1284,1042,1007,1585,1227,714,778,802,747
