"gene_id","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"2607584603",2957,1062,271,1406,1769,2385,175,71,21,3357,2439,2596,1485,1172,709,1132,1517,1108
"2607584605",19,8,6,11,21,26,2,4,4,23,20,16,24,16,6,10,4,10
"2607584609",11,0,0,1,4,10,0,2,2,32,10,14,6,2,0,4,2,2
"2607584613",148,58,24,114,122,150,18,14,6,204,164,152,254,198,113,128,104,115
"2607584614",269,151,45,176,203,247,50,36,16,280,189,202,314,329,181,169,122,144
"2607584616",146,85,46,84,84,108,58,28,16,136,143,98,128,122,60,86,74,73
"2607584617",54,17,2,15,8,30,0,4,0,23,15,19,20,29,1,10,8,7
"2607584618",202,94,32,103,160,136,10,10,2,151,76,97,227,192,106,94,97,101
"2607584622",2230,881,380,930,1091,1351,270,136,54,1878,1338,1253,1754,1510,900,972,1208,1026
"2607584623",12,4,0,9,8,13,0,0,0,8,11,5,3,9,3,10,3,5
"2607584624",129,43,13,57,83,97,16,0,0,75,62,64,92,91,39,41,42,38
"2607584625",76,8,4,24,27,53,4,10,0,77,35,30,75,49,34,17,15,34
"2607584626",42,22,4,20,30,32,4,0,0,30,36,22,70,31,11,17,20,40
"2607584627",12,6,0,7,2,6,0,2,0,7,4,0,3,8,6,9,2,0
"2607584629",197,65,25,101,96,160,39,20,6,256,140,148,221,158,117,131,116,108
"2607584630",615,232,81,402,467,617,85,54,15,701,509,530,603,562,364,248,355,291
"2607584631",121,41,4,78,107,159,6,0,0,102,97,108,89,78,40,23,36,42
"2607584632",5,1,0,0,4,4,0,0,0,2,3,3,1,4,0,1,4,2
"2607584633",14,0,0,4,6,8,0,2,0,12,0,6,0,4,4,4,2,2
"2607584636",694,282,127,189,220,278,118,82,32,505,420,428,907,620,426,421,435,374
"2607584637",13,8,0,0,3,14,2,0,0,13,8,4,1,2,6,14,3,4
"2607584639",227,114,46,68,112,104,28,14,8,198,167,163,220,130,106,133,113,135
"2607584640",799,299,155,559,580,710,140,70,42,453,258,272,749,637,472,230,315,266
"2607584641",12,3,2,11,12,16,0,0,0,14,15,13,10,15,6,12,11,10
"2607584644",15,12,0,8,19,15,6,2,0,33,15,30,28,40,8,25,23,19
"2607584645",49,19,4,37,31,27,18,12,8,56,69,74,77,86,64,61,65,34
