"","L22.1","L22.2","L22.3","R22.1","R22.2","R22.3","L27.1","L27.2","L27.3","R27.1","R27.2","R27.3","L32.1","L32.2","L32.3","R32.1","R32.2","R32.3"
"1",4.402352874875,4.59477637275112,4.50656454725028,4.43983191923726,4.86175494241522,4.59512351259559,4.81497071373358,4.22283027538858,5.13323119357303,4.21660589724766,4.35419808359312,4.15819745409094,4.42387440955124,4.85392927587081,4.75008025084351,4.80733051179227,4.591005553759,4.49203152799214
"2",4.50032747122444,4.44182369672552,4.35930329237895,4.33786067162024,4.35455090901072,4.0443945462832,3.58773397813582,3.69666655256342,4.32362254862731,3.83732852407911,4.23015944489479,3.77399322800934,4.31410440639881,4.59319298793355,4.90421401322857,4.18041984418893,4.0941399765072,4.55464050650481
"3",7.84973890300621,8.18618703344915,8.76366623845936,8.27055713050712,8.46112321339959,8.15401998648949,8.73420943790575,8.64835424152997,8.66303263771705,8.09890251961415,8.3008154176083,8.31470577072064,7.59250475472451,7.62868720111916,7.92251955046558,8.21557435405057,8.14389455541234,8.34200635771556
"4",1.549992606145,1.63593457192532,1.43799634030832,1.76074298683861,1.39298068713235,1.35139982963967,1.45114953385822,1.31110277809289,1.43552719510213,1.81702506919573,1.66953170534071,1.59486506318469,1.67151218926914,1.61148067065838,1.16433808817654,1.24473153395409,1.22960105540364,0.996632578117939
"5",3.25736761792072,3.37484734928866,2.97229093615546,3.73974263541276,3.71855940133512,4.24662170013044,2.82511889808018,3.00984029951741,3.27721459126846,3.9046352260604,4.67336161313193,3.96397878806166,3.44696264614911,3.21821982498162,2.91843398484545,3.63095210713444,3.80626041980024,3.21151698079661
"6",4.48248237096912,4.54270139950063,4.46949793865535,4.43513699467051,4.86771425637715,4.53661573409494,4.42275630131075,4.81168031351742,4.66717835977442,4.82173871385746,4.82334055153404,4.4641075314518,4.47863898357127,4.54705555707649,4.54871223242812,5.09717738851208,5.39486947511173,5.17923171022858
"7",5.21394738626041,4.7148537343534,4.97939142578668,5.58042472852983,5.53297626933983,5.76126344044174,4.88081610227091,4.79817176065385,5.16659249261085,5.23759880912139,5.25397894426295,4.96337396388232,5.24250156797434,5.37788759609778,5.27034289633945,4.94647744837437,4.75885773945224,5.26506933759889
"8",8.40054054372788,8.35652882764347,8.71938219708956,8.65690315148887,8.64818819422564,8.49939781229723,8.27429259160595,8.15038949230792,7.85973876804285,8.03335213991784,7.96824962555973,7.8500137013983,7.82890329166321,7.78114730330203,8.00034491421134,7.9443036273318,7.87460411265116,8.01660093087221
"9",7.35925727562658,7.31170769606065,7.60009849561639,7.44827604698901,7.49534010385602,7.46181562639645,7.01539382941412,6.56014957777788,7.01674517984488,7.14700438826335,6.86610507278755,6.74886538873609,6.85327439326015,6.65386408575428,6.49585341389505,6.40985537830653,6.47096933039094,6.38969922229403
"10",5.38699669946426,5.32646105788873,4.86846888717236,5.53756962696544,5.3770537201207,5.7531458538325,5.00247111196382,4.98145729621831,4.51669740962033,4.93233273507652,4.9955308253764,5.03121431144995,5.30529310133681,5.18414440191076,5.20065697636398,4.43731556895958,4.49163321387598,4.8299148719802
