"","x"
"1","2607584613"
"2","2607584630"
"3","2607584631"
"4","2607584748"
"5","2607584751"
"6","2607585049"
"7","2607585073"
"8","2607585074"
"9","2607585116"
"10","2607585157"
"11","2607585264"
"12","2607585265"
"13","2607585274"
"14","2607585343"
"15","2607585344"
"16","2607585389"
"17","2607585477"
"18","2607585566"
"19","2607585732"
"20","2607585876"
"21","2607586089"
"22","2607586219"
"23","2607586282"
"24","2607586368"
"25","2607586423"
"26","2607586502"
"27","2607586595"
"28","2607586636"
"29","2607586639"
"30","2607586700"
"31","2607586701"
"32","2607586713"
"33","2607586714"
"34","2607586765"
"35","2607586817"
"36","2607586866"
"37","2607586887"
"38","2607586982"
"39","2607586983"
"40","2607587010"
"41","2607587078"
"42","2607587091"
"43","2607587164"
"44","2607587418"
"45","2607587443"
"46","2607587444"
"47","2607587795"
"48","2607587796"
"49","2607587859"
"50","2607587863"
"51","2607587865"
"52","2607587954"
"53","2607588215"
"54","2607588221"
"55","2607588222"
"56","2607588279"
"57","2607588342"
"58","2607588404"
"59","2607588405"
"60","2607588410"
"61","2607588558"
"62","2607588674"
"63","2607588694"
"64","2607588712"
"65","2607588769"
"66","2607588894"
"67","2607588976"
"68","2607589127"
"69","2607589148"
"70","2607589284"
"71","2607589370"
"72","2607589423"
"73","2607589455"
"74","2607589701"
"75","2607589915"
"76","2607589916"
"77","K00075"
"78","K00162"
"79","K00208"
"80","K00325"
"81","K00341"
"82","K00939"
"83","K01756"
"84","K01924"
"85","K01937"
"86","K01939"
"87","K02007"
"88","K02008"
"89","K02160"
"90","K02288"
"91","K02289"
"92","K02518"
"93","K02634"
"94","K02636"
"95","K02724"
"96","K02863"
"97","K02864"
"98","K02913"
"99","K02916"
"100","K02948"
"101","K02950"
"102","K03040"
"103","K03072"
"104","K03073"
"105","K03116"
"106","K03437"
"107","K03561"
"108","K03595"
"109","K03636"
"110","K03644"
"111","K03657"
"112","K03790"
"113","K04518"
"114","K04708"
"115","K05378"
"116","K05381"
"117","K05386"
"118","K06041"
"119","K06173"
"120","K06203"
"121","K07499"
"122","K09748"
"123","K10563"
"124","K22044"
"125","K25307"
"126","K25706"
