"","x"
"1","2607584640"
"2","2607584716"
"3","2607584776"
"4","2607584888"
"5","2607584908"
"6","2607585003"
"7","2607585449"
"8","2607585515"
"9","2607585529"
"10","2607585599"
"11","2607586305"
"12","2607586307"
"13","2607586311"
"14","2607586331"
"15","2607586432"
"16","2607587034"
"17","2607587099"
"18","2607587123"
"19","2607587203"
"20","2607587206"
"21","2607587207"
"22","2607587246"
"23","2607587282"
"24","2607587347"
"25","2607587569"
"26","2607587901"
"27","2607587902"
"28","2607587903"
"29","2607587990"
"30","2607587991"
"31","2607587992"
"32","2607587993"
"33","2607588265"
"34","2607588514"
"35","2607588554"
"36","2607588592"
"37","2607588607"
"38","2607588745"
"39","2607588831"
"40","2607589135"
"41","2607589310"
"42","2607589464"
"43","2607589622"
"44","K00681"
"45","K01251"
"46","K01657"
"47","K01838"
"48","K01885"
"49","K02551"
"50","K03609"
"51","K04043"
"52","K04077"
"53","K04078"
"54","K04079"
"55","K05516"
"56","K06158"
"57","K06196"
"58","K06959"
"59","K09815"
"60","K15982"
"61","K16870"
"62","K23504"
