"","x"
"1","2607584616"
"2","2607584681"
"3","2607584688"
"4","2607584702"
"5","2607584707"
"6","2607584750"
"7","2607584778"
"8","2607584780"
"9","2607584793"
"10","2607584823"
"11","2607584909"
"12","2607584916"
"13","2607584975"
"14","2607584988"
"15","2607585004"
"16","2607585014"
"17","2607585016"
"18","2607585018"
"19","2607585040"
"20","2607585055"
"21","2607585080"
"22","2607585106"
"23","2607585139"
"24","2607585158"
"25","2607585173"
"26","2607585174"
"27","2607585205"
"28","2607585208"
"29","2607585209"
"30","2607585210"
"31","2607585211"
"32","2607585212"
"33","2607585250"
"34","2607585252"
"35","2607585275"
"36","2607585308"
"37","2607585309"
"38","2607585324"
"39","2607585326"
"40","2607585332"
"41","2607585353"
"42","2607585368"
"43","2607585371"
"44","2607585404"
"45","2607585410"
"46","2607585415"
"47","2607585424"
"48","2607585431"
"49","2607585445"
"50","2607585451"
"51","2607585456"
"52","2607585505"
"53","2607585579"
"54","2607585597"
"55","2607585611"
"56","2607585646"
"57","2607585655"
"58","2607585657"
"59","2607585666"
"60","2607585713"
"61","2607585725"
"62","2607585726"
"63","2607585728"
"64","2607585733"
"65","2607585735"
"66","2607585741"
"67","2607585754"
"68","2607585755"
"69","2607585763"
"70","2607585821"
"71","2607585830"
"72","2607585896"
"73","2607585999"
"74","2607586002"
"75","2607586078"
"76","2607586079"
"77","2607586080"
"78","2607586087"
"79","2607586121"
"80","2607586124"
"81","2607586128"
"82","2607586139"
"83","2607586140"
"84","2607586141"
"85","2607586154"
"86","2607586189"
"87","2607586191"
"88","2607586192"
"89","2607586193"
"90","2607586194"
"91","2607586212"
"92","2607586213"
"93","2607586218"
"94","2607586232"
"95","2607586301"
"96","2607586336"
"97","2607586341"
"98","2607586364"
"99","2607586390"
"100","2607586413"
"101","2607586431"
"102","2607586441"
"103","2607586442"
"104","2607586457"
"105","2607586505"
"106","2607586572"
"107","2607586573"
"108","2607586577"
"109","2607586589"
"110","2607586596"
"111","2607586616"
"112","2607586619"
"113","2607586650"
"114","2607586657"
"115","2607586658"
"116","2607586672"
"117","2607586693"
"118","2607586695"
"119","2607586720"
"120","2607586724"
