"","x"
"1","2607584636"
"2","2607584692"
"3","2607584939"
"4","2607584954"
"5","2607585101"
"6","2607585240"
"7","2607585469"
"8","2607585470"
"9","2607585637"
"10","2607585638"
"11","2607585674"
"12","2607585998"
"13","2607586226"
"14","2607586312"
"15","2607586313"
"16","2607586314"
"17","2607586319"
"18","2607586337"
"19","2607586339"
"20","2607586490"
"21","2607586563"
"22","2607586564"
"23","2607586643"
"24","2607587036"
"25","2607587087"
"26","2607587201"
"27","2607587211"
"28","2607587312"
"29","2607587313"
"30","2607587425"
"31","2607587559"
"32","2607587573"
"33","2607587690"
"34","2607587729"
"35","2607587782"
"36","2607587783"
"37","2607587784"
"38","2607588135"
"39","2607588136"
"40","2607588393"
"41","2607588593"
"42","2607588594"
"43","2607588597"
"44","2607588600"
"45","2607588601"
"46","2607588602"
"47","2607588723"
"48","2607588842"
"49","2607589092"
"50","2607589093"
"51","2607589518"
"52","2607589853"
"53","2607589855"
"54","isiA"
"55","K00020"
"56","K00485"
"57","K00588"
"58","K00645"
"59","K00799"
"60","K01126"
"61","K01495"
"62","K01623"
"63","K02010"
"64","K02012"
"65","K02294"
"66","K02482"
"67","K02703"
"68","K02705"
"69","K03189"
"70","K03839"
"71","K05575"
"72","K06338"
"73","K08226"
"74","K09012"
"75","K09013"
"76","K09014"
"77","K09015"
"78","K09942"
"79","K11717"
"80","K11752"
"81","K15977"
"82","K23262"
