"","x"
"1","2641943206"
"2","2641943242"
"3","2641943321"
"4","2641943458"
"5","2641943480"
"6","2641943481"
"7","2641943485"
"8","2641943486"
"9","2641943507"
"10","2641943510"
"11","2641943511"
"12","2641943566"
"13","2641943572"
"14","2641943590"
"15","2641943617"
"16","2641943675"
"17","2641943746"
"18","2641943794"
"19","2641943807"
"20","2641943808"
"21","2641943919"
"22","2641943921"
"23","2641944021"
"24","2641944047"
"25","2641944062"
"26","2641944068"
"27","2641944087"
"28","2641944136"
"29","2641944176"
"30","2641944180"
"31","2641944197"
"32","2641944206"
"33","2641944270"
"34","2641944280"
"35","2641944305"
"36","2641944369"
"37","2641944411"
"38","2641944421"
"39","2641944422"
"40","2641944492"
"41","2641944493"
"42","2641944496"
"43","2641944508"
"44","2641944525"
"45","2641944579"
"46","2641944647"
"47","2641944664"
"48","2641944705"
"49","2641944756"
"50","2641944824"
"51","2641944830"
"52","2641944833"
"53","2641944834"
"54","2641944936"
"55","2641944976"
"56","2641944980"
"57","2641945119"
"58","2641945122"
"59","2641945124"
"60","2641945185"
"61","2641945193"
"62","2641945239"
"63","2641945257"
"64","2641945258"
"65","2641945260"
"66","2641945266"
"67","2641945304"
"68","2641945357"
"69","2641945433"
"70","2641945475"
"71","2641945478"
"72","2641945480"
"73","2641945501"
"74","2641945502"
"75","2641945536"
"76","2641945574"
"77","2641945634"
"78","2641945666"
"79","2641945678"
"80","2641945702"
"81","2641945788"
"82","2641945818"
"83","2641945825"
"84","2641945828"
"85","2641945865"
"86","2641945887"
"87","2641945888"
"88","2641945889"
"89","2641945890"
"90","2641945935"
"91","2641945937"
"92","2641945967"
"93","2641945971"
"94","2641945978"
"95","2641946010"
"96","2641946029"
"97","2641946067"
"98","2641946080"
"99","2641946113"
"100","2641946154"
"101","2641946247"
"102","2641946248"
"103","2641946463"
"104","2641946560"
"105","2641950238"
"106","2641950529"
"107","2641950541"
"108","2641950935"
"109","2641950985"
"110","2641950988"
"111","2641951166"
"112","2641951170"
"113","2641951179"
"114","2641951182"
"115","2641951210"
"116","2641951237"
"117","2641951285"
"118","2641951287"
"119","2641951348"
"120","2641951373"
"121","2641951382"
"122","2641951411"
"123","2641951447"
"124","2641951465"
"125","2641951467"
"126","2641951478"
"127","2641951492"
"128","2641951499"
"129","2641951551"
"130","2641951553"
"131","2641951554"
"132","2641951557"
"133","2641951624"
"134","2641951629"
"135","2641951733"
"136","2641951756"
"137","2641951758"
"138","2641951899"
"139","2641951908"
"140","2641951917"
"141","2641951931"
"142","2641952001"
"143","2641952015"
"144","2641952022"
"145","2641952088"
"146","2641952186"
"147","2641952187"
"148","2641952188"
"149","2641952189"
"150","2641952206"
"151","2641952307"
"152","2641952331"
"153","2641952360"
"154","2641952395"
"155","2641952433"
"156","2641952443"
"157","2641952453"
"158","2641952477"
"159","2641952497"
"160","2641952508"
"161","2641952626"
"162","2641952642"
"163","2641952665"
"164","2641952666"
"165","2641952667"
"166","2641952683"
"167","2641952731"
"168","2641952755"
"169","2641952806"
"170","2641952840"
"171","2641952902"
"172","2641952916"
"173","2641952917"
"174","2641952943"
"175","2641952961"
"176","2641952983"
"177","2641953046"
"178","2641953057"
"179","2641953118"
"180","2641953121"
"181","2641953148"
"182","2641953172"
"183","2641953200"
"184","2641953283"
"185","2641953287"
"186","2641953351"
"187","2641953385"
"188","2641953414"
"189","2641953454"
"190","2641953478"
"191","2641953872"
"192","2641954024"
"193","2641954208"
"194","2641958255"
"195","K00052"
"196","K00058"
"197","K00128"
"198","K00239"
"199","K00325"
"200","K00609"
"201","K00766"
"202","K00800"
"203","K00812"
"204","K00820"
"205","K00847"
"206","K00864"
"207","K00872"
"208","K00927"
"209","K00928"
"210","K00971"
"211","K01000"
"212","K01465"
"213","K01507"
"214","K01585"
"215","K01599"
"216","K01756"
"217","K01835"
"218","K01845"
"219","K01876"
"220","K01878"
"221","K01889"
"222","K01921"
"223","K01923"
"224","K01945"
"225","K02028"
"226","K02092"
"227","K02093"
"228","K02096"
"229","K02097"
"230","K02234"
"231","K02284"
"232","K02285"
"233","K02492"
"234","K02510"
"235","K02634"
"236","K02693"
"237","K02698"
"238","K02704"
"239","K02705"
"240","K02709"
"241","K02716"
"242","K02837"
"243","K03292"
"244","K03301"
"245","K03427"
"246","K03428"
"247","K03546"
"248","K03559"
"249","K03650"
"250","K03671"
"251","K03795"
"252","K03980"
"253","K04656"
"254","K05369"
"255","K05377"
"256","K05378"
"257","K05383"
"258","K05386"
"259","K05979"
"260","K06118"
"261","K06381"
"262","K06889"
"263","K06901"
"264","K06985"
"265","K07462"
"266","K08226"
"267","K09818"
"268","K11206"
"269","K11752"
"270","K12340"
"271","K13541"
"272","K13799"
"273","K14393"
"274","K19837"
"275","K21900"
"276","K22305"
"277","K22616"
"278","K22895"
"279","K24392"
"280","K25587"
