"","x"
"1","2607584616"
"2","2607584681"
"3","2607584692"
"4","2607584747"
"5","2607584750"
"6","2607584778"
"7","2607584823"
"8","2607584830"
"9","2607584835"
"10","2607584888"
"11","2607584891"
"12","2607584916"
"13","2607584917"
"14","2607584954"
"15","2607584989"
"16","2607585011"
"17","2607585016"
"18","2607585018"
"19","2607585055"
"20","2607585066"
"21","2607585080"
"22","2607585101"
"23","2607585103"
"24","2607585127"
"25","2607585139"
"26","2607585158"
"27","2607585163"
"28","2607585187"
"29","2607585205"
"30","2607585209"
"31","2607585210"
"32","2607585211"
"33","2607585212"
"34","2607585232"
"35","2607585240"
"36","2607585250"
"37","2607585252"
"38","2607585275"
"39","2607585279"
"40","2607585308"
"41","2607585309"
"42","2607585317"
"43","2607585324"
"44","2607585330"
"45","2607585349"
"46","2607585353"
"47","2607585368"
"48","2607585404"
"49","2607585410"
"50","2607585415"
"51","2607585424"
"52","2607585425"
"53","2607585431"
"54","2607585442"
"55","2607585445"
"56","2607585451"
"57","2607585456"
"58","2607585493"
"59","2607585505"
"60","2607585531"
"61","2607585540"
"62","2607585579"
"63","2607585581"
"64","2607585597"
"65","2607585599"
"66","2607585611"
"67","2607585646"
"68","2607585655"
"69","2607585666"
"70","2607585674"
"71","2607585710"
"72","2607585725"
"73","2607585726"
"74","2607585727"
"75","2607585728"
"76","2607585741"
"77","2607585754"
"78","2607585777"
"79","2607585780"
"80","2607585821"
"81","2607585827"
"82","2607585830"
"83","2607586002"
"84","2607586043"
"85","2607586048"
"86","2607586080"
"87","2607586087"
"88","2607586121"
"89","2607586124"
"90","2607586128"
"91","2607586140"
"92","2607586141"
"93","2607586143"
"94","2607586158"
"95","2607586177"
"96","2607586189"
"97","2607586191"
"98","2607586192"
"99","2607586193"
"100","2607586194"
"101","2607586212"
"102","2607586213"
"103","2607586218"
"104","2607586232"
"105","2607586286"
"106","2607586290"
"107","2607586314"
"108","2607586331"
"109","2607586339"
"110","2607586354"
"111","2607586361"
"112","2607586390"
"113","2607586394"
"114","2607586413"
"115","2607586431"
"116","2607586434"
"117","2607586457"
"118","2607586465"
"119","2607586471"
"120","2607586472"
