"","x"
"1","2641943208"
"2","2641943213"
"3","2641943249"
"4","2641943277"
"5","2641943320"
"6","2641943357"
"7","2641943407"
"8","2641943420"
"9","2641943484"
"10","2641943526"
"11","2641943557"
"12","2641943571"
"13","2641943587"
"14","2641943594"
"15","2641943680"
"16","2641943716"
"17","2641943784"
"18","2641943800"
"19","2641943834"
"20","2641943866"
"21","2641943903"
"22","2641943943"
"23","2641943944"
"24","2641943951"
"25","2641943991"
"26","2641944002"
"27","2641944025"
"28","2641944045"
"29","2641944175"
"30","2641944179"
"31","2641944186"
"32","2641944278"
"33","2641944325"
"34","2641944555"
"35","2641944591"
"36","2641944609"
"37","2641944615"
"38","2641944651"
"39","2641944761"
"40","2641944765"
"41","2641944821"
"42","2641944826"
"43","2641944873"
"44","2641944899"
"45","2641944910"
"46","2641944957"
"47","2641944988"
"48","2641945039"
"49","2641945169"
"50","2641945179"
"51","2641945217"
"52","2641945229"
"53","2641945482"
"54","2641945499"
"55","2641945512"
"56","2641945551"
"57","2641945575"
"58","2641945577"
"59","2641945578"
"60","2641945606"
"61","2641945628"
"62","2641945629"
"63","2641945696"
"64","2641945752"
"65","2641945754"
"66","2641945791"
"67","2641945794"
"68","2641945796"
"69","2641945845"
"70","2641945851"
"71","2641945852"
"72","2641945858"
"73","2641945893"
"74","2641945903"
"75","2641945934"
"76","2641945936"
"77","2641945938"
"78","2641945956"
"79","2641946001"
"80","2641946006"
"81","2641946085"
"82","2641946100"
"83","2641946142"
"84","2641946181"
"85","2641946184"
"86","2641946326"
"87","2641946408"
"88","2641946478"
"89","2641947055"
"90","2641947864"
"91","2641950237"
"92","2641950739"
"93","2641950797"
"94","2641950816"
"95","2641950828"
"96","2641950874"
"97","2641950953"
"98","2641950984"
"99","2641951009"
"100","2641951160"
"101","2641951431"
"102","2641951509"
"103","2641951541"
"104","2641951559"
"105","2641951575"
"106","2641951576"
"107","2641951606"
"108","2641951659"
"109","2641951711"
"110","2641951780"
"111","2641951804"
"112","2641951821"
"113","2641951845"
"114","2641951873"
"115","2641951890"
"116","2641951894"
"117","2641951962"
"118","2641951965"
"119","2641952046"
"120","2641952078"
"121","2641952242"
"122","2641952398"
"123","2641952402"
"124","2641952436"
"125","2641952459"
"126","2641952498"
"127","2641952581"
"128","2641952622"
"129","2641952629"
"130","2641952663"
"131","2641952865"
"132","2641952960"
"133","2641953002"
"134","2641953081"
"135","2641953103"
"136","2641953117"
"137","2641953122"
"138","2641953230"
"139","2641953249"
"140","2641953254"
"141","2641953263"
"142","2641953269"
"143","2641953274"
"144","2641953330"
"145","2641953335"
"146","2641953452"
"147","2641954025"
"148","K00012"
"149","K00053"
"150","K00383"
"151","K00464"
"152","K00485"
"153","K00518"
"154","K00600"
"155","K00612"
"156","K00615"
"157","K00703"
"158","K00835"
"159","K00937"
"160","K01126"
"161","K01139"
"162","K01185"
"163","K01208"
"164","K01406"
"165","K01428"
"166","K01620"
"167","K01623"
"168","K01624"
"169","K01669"
"170","K01695"
"171","K01696"
"172","K01698"
"173","K01738"
"174","K01869"
"175","K01870"
"176","K01872"
"177","K01875"
"178","K01879"
"179","K01890"
"180","K01893"
"181","K01895"
"182","K01897"
"183","K01940"
"184","K01956"
"185","K01990"
"186","K02012"
"187","K02035"
"188","K02241"
"189","K02290"
"190","K02434"
"191","K02503"
"192","K02563"
"193","K02638"
"194","K02669"
"195","K02878"
"196","K02884"
"197","K02890"
"198","K02926"
"199","K02961"
"200","K03070"
"201","K03168"
"202","K03403"
"203","K03404"
"204","K03431"
"205","K03547"
"206","K03553"
"207","K03555"
"208","K03564"
"209","K03580"
"210","K03593"
"211","K03635"
"212","K03701"
"213","K03702"
"214","K03750"
"215","K03797"
"216","K03839"
"217","K03856"
"218","K03969"
"219","K04034"
"220","K04035"
"221","K04037"
"222","K04038"
"223","K04039"
"224","K04077"
"225","K04078"
"226","K04567"
"227","K04719"
"228","K05376"
"229","K05380"
"230","K05520"
"231","K05897"
"232","K06045"
"233","K06119"
"234","K06168"
"235","K06207"
"236","K06911"
"237","K06972"
"238","K06978"
"239","K07071"
"240","K07147"
"241","K07253"
"242","K07304"
"243","K07393"
"244","K07445"
"245","K08084"
"246","K08903"
"247","K09747"
"248","K10206"
"249","K10960"
"250","K11163"
"251","K11749"
"252","K13628"
"253","K13821"
"254","K14605"
"255","K14652"
"256","K15976"
"257","K17108"
"258","K18534"
"259","K18640"
"260","K19170"
"261","K20024"
"262","K21231"
"263","K21480"
"264","K22705"
"265","K23139"
"266","K23262"
"267","K23269"
"268","K23504"
"269","K24157"
"270","K24411"
"271","K25380"
"272","K25570"
