"","x"
"1","2607584613"
"2","2607584657"
"3","2607584684"
"4","2607584733"
"5","2607584739"
"6","2607584745"
"7","2607584757"
"8","2607584766"
"9","2607584774"
"10","2607584786"
"11","2607584809"
"12","2607584811"
"13","2607584838"
"14","2607584858"
"15","2607584897"
"16","2607584908"
"17","2607585000"
"18","2607585049"
"19","2607585063"
"20","2607585073"
"21","2607585074"
"22","2607585097"
"23","2607585116"
"24","2607585145"
"25","2607585146"
"26","2607585196"
"27","2607585235"
"28","2607585245"
"29","2607585246"
"30","2607585253"
"31","2607585254"
"32","2607585259"
"33","2607585263"
"34","2607585264"
"35","2607585271"
"36","2607585288"
"37","2607585361"
"38","2607585409"
"39","2607585448"
"40","2607585519"
"41","2607585528"
"42","2607585628"
"43","2607585647"
"44","2607585686"
"45","2607585691"
"46","2607585714"
"47","2607585732"
"48","2607585746"
"49","2607585781"
"50","2607585785"
"51","2607585791"
"52","2607585793"
"53","2607585799"
"54","2607585800"
"55","2607585801"
"56","2607585833"
"57","2607585870"
"58","2607585876"
"59","2607585992"
"60","2607585993"
"61","2607586005"
"62","2607586089"
"63","2607586094"
"64","2607586095"
"65","2607586108"
"66","2607586125"
"67","2607586137"
"68","2607586151"
"69","2607586256"
"70","2607586260"
"71","2607586280"
"72","2607586282"
"73","2607586283"
"74","2607586334"
"75","2607586365"
"76","2607586368"
"77","2607586379"
"78","2607586502"
"79","2607586512"
"80","2607586513"
"81","2607586526"
"82","2607586531"
"83","2607586554"
"84","2607586580"
"85","2607586594"
"86","2607586606"
"87","2607586636"
"88","2607586668"
"89","2607586675"
"90","2607586729"
"91","2607586732"
"92","2607586734"
"93","2607586790"
"94","2607586832"
"95","2607586839"
"96","2607586864"
"97","2607586866"
"98","2607586872"
"99","2607586878"
"100","2607586914"
"101","2607586935"
"102","2607586937"
"103","2607587007"
"104","2607587010"
"105","2607587054"
"106","2607587060"
"107","2607587091"
"108","2607587097"
"109","2607587108"
"110","2607587110"
"111","2607587111"
"112","2607587132"
"113","2607587164"
"114","2607587221"
"115","2607587230"
"116","2607587240"
"117","2607587241"
"118","2607587244"
"119","2607587284"
"120","2607587299"
"121","2607587302"
"122","2607587304"
"123","2607587311"
"124","2607587329"
"125","2607587330"
"126","2607587331"
"127","2607587338"
"128","2607587347"
"129","2607587362"
"130","2607587375"
"131","2607587418"
"132","2607587420"
"133","2607587443"
"134","2607587444"
"135","2607587446"
"136","2607587470"
"137","2607587472"
"138","2607587479"
"139","2607587539"
"140","2607587555"
"141","2607587573"
"142","2607587577"
"143","2607587632"
"144","2607587653"
"145","2607587688"
"146","2607587790"
"147","2607587795"
"148","2607587796"
"149","2607587797"
"150","2607587799"
