"","x"
"1","2641943196"
"2","2641943209"
"3","2641943210"
"4","2641943358"
"5","2641943359"
"6","2641943488"
"7","2641943490"
"8","2641943677"
"9","2641943678"
"10","2641943905"
"11","2641943948"
"12","2641944065"
"13","2641944142"
"14","2641944231"
"15","2641944233"
"16","2641944237"
"17","2641944242"
"18","2641944259"
"19","2641944297"
"20","2641944298"
"21","2641944299"
"22","2641944300"
"23","2641944322"
"24","2641944326"
"25","2641944654"
"26","2641944712"
"27","2641944791"
"28","2641944867"
"29","2641944942"
"30","2641944943"
"31","2641944966"
"32","2641944972"
"33","2641944991"
"34","2641945059"
"35","2641945101"
"36","2641945102"
"37","2641945110"
"38","2641945111"
"39","2641945367"
"40","2641945387"
"41","2641945411"
"42","2641945484"
"43","2641945533"
"44","2641945614"
"45","2641945684"
"46","2641945727"
"47","2641945729"
"48","2641945741"
"49","2641945747"
"50","2641945765"
"51","2641945769"
"52","2641945795"
"53","2641945796"
"54","2641946002"
"55","2641946047"
"56","2641946128"
"57","2641946171"
"58","2641946339"
"59","2641946471"
"60","2641946593"
"61","2641950718"
"62","2641950729"
"63","2641950978"
"64","2641951022"
"65","2641951209"
"66","2641951246"
"67","2641951310"
"68","2641951352"
"69","2641951360"
"70","2641951496"
"71","2641951513"
"72","2641951531"
"73","2641951536"
"74","2641951560"
"75","2641951588"
"76","2641951681"
"77","2641951719"
"78","2641951748"
"79","2641951775"
"80","2641951799"
"81","2641951803"
"82","2641951808"
"83","2641951825"
"84","2641951895"
"85","2641951912"
"86","2641951940"
"87","2641951946"
"88","2641951987"
"89","2641951990"
"90","2641952049"
"91","2641952200"
"92","2641952303"
"93","2641952464"
"94","2641952537"
"95","2641952539"
"96","2641952579"
"97","2641952580"
"98","2641952588"
"99","2641952596"
"100","2641952607"
"101","2641952648"
"102","2641952679"
"103","2641952680"
"104","2641952681"
"105","2641952682"
"106","2641952759"
"107","2641952948"
"108","2641953003"
"109","2641953023"
"110","2641953076"
"111","2641953188"
"112","2641953189"
"113","2641953245"
"114","2641953327"
"115","2641953328"
"116","2641953501"
"117","2641954130"
"118","2641954944"
"119","2641955949"
"120","K00075"
"121","K00162"
"122","K00208"
"123","K00390"
"124","K00790"
"125","K00939"
"126","K01012"
"127","K01207"
"128","K01493"
"129","K01495"
"130","K01551"
"131","K01591"
"132","K01661"
"133","K01693"
"134","K01755"
"135","K01814"
"136","K01866"
"137","K01881"
"138","K01924"
"139","K02001"
"140","K02108"
"141","K02224"
"142","K02238"
"143","K02316"
"144","K02355"
"145","K02493"
"146","K02518"
"147","K02635"
"148","K02687"
"149","K02705"
"150","K02718"
"151","K02835"
"152","K02863"
"153","K02867"
"154","K02871"
"155","K02874"
"156","K02876"
"157","K02878"
"158","K02879"
"159","K02881"
"160","K02887"
"161","K02888"
"162","K02890"
"163","K02892"
"164","K02895"
"165","K02899"
"166","K02904"
"167","K02913"
"168","K02916"
"169","K02919"
"170","K02926"
"171","K02931"
"172","K02935"
"173","K02946"
"174","K02950"
"175","K02952"
"176","K02965"
"177","K02967"
"178","K02988"
"179","K02992"
"180","K02996"
"181","K03072"
"182","K03101"
"183","K03498"
"184","K03523"
"185","K03530"
"186","K03544"
"187","K03561"
"188","K03636"
"189","K03655"
"190","K03787"
"191","K03810"
"192","K04083"
"193","K04749"
"194","K04751"
"195","K05572"
"196","K05575"
"197","K05576"
"198","K05580"
"199","K05581"
"200","K06178"
"201","K06194"
"202","K06203"
"203","K06962"
"204","K06997"
"205","K07171"
"206","K07452"
"207","K08479"
"208","K09568"
"209","K09775"
"210","K09777"
"211","K09800"
"212","K10257"
"213","K10541"
"214","K10947"
"215","K11145"
"216","K11522"
"217","K11690"
"218","K11754"
"219","K14330"
"220","K14331"
"221","K14518"
"222","K18277"
"223","K23054"
"224","K23095"
"225","K24419"
