"","x"
"1","2607584748"
"2","2607584832"
"3","2607584833"
"4","2607584834"
"5","2607584837"
"6","2607585028"
"7","2607585063"
"8","2607585479"
"9","2607585482"
"10","2607585484"
"11","2607585485"
"12","2607585486"
"13","2607585879"
"14","2607586173"
"15","2607586219"
"16","2607586334"
"17","2607586335"
"18","2607586514"
"19","2607586638"
"20","2607586639"
"21","2607586652"
"22","2607587688"
"23","2607587781"
"24","2607587954"
"25","2607588368"
"26","2607588668"
"27","2607588694"
"28","2607589507"
"29","2607589541"
"30","2607589542"
"31","2607589701"
"32","K00145"
"33","K00228"
"34","K00324"
"35","K00549"
"36","K00652"
"37","K00847"
"38","K01061"
"39","K01756"
"40","K01803"
"41","K02356"
"42","K02433"
"43","K02636"
"44","K02698"
"45","K02879"
"46","K02886"
"47","K02906"
"48","K02933"
"49","K02994"
"50","K03040"
"51","K03076"
"52","K03147"
"53","K03320"
"54","K03439"
"55","K03802"
"56","K05378"
"57","K05810"
"58","K06042"
"59","K06137"
"60","K06173"
"61","K06872"
"62","K09903"
"63","K11004"
"64","K13789"
"65","K15226"
"66","K23262"
