"","x"
"1","2641943194"
"2","2641943195"
"3","2641943196"
"4","2641943199"
"5","2641943200"
"6","2641943201"
"7","2641943202"
"8","2641943206"
"9","2641943246"
"10","2641943251"
"11","2641943259"
"12","2641943262"
"13","2641943299"
"14","2641943367"
"15","2641943375"
"16","2641943376"
"17","2641943453"
"18","2641943454"
"19","2641943488"
"20","2641943558"
"21","2641943597"
"22","2641943696"
"23","2641943824"
"24","2641943906"
"25","2641943952"
"26","2641944059"
"27","2641944060"
"28","2641944106"
"29","2641944186"
"30","2641944198"
"31","2641944199"
"32","2641944210"
"33","2641944272"
"34","2641944295"
"35","2641944304"
"36","2641944317"
"37","2641944319"
"38","2641944408"
"39","2641944409"
"40","2641944410"
"41","2641944416"
"42","2641944459"
"43","2641944530"
"44","2641944531"
"45","2641944532"
"46","2641944533"
"47","2641944534"
"48","2641944573"
"49","2641944574"
"50","2641944578"
"51","2641944597"
"52","2641944614"
"53","2641944615"
"54","2641944619"
"55","2641944654"
"56","2641944655"
"57","2641944659"
"58","2641944660"
"59","2641944757"
"60","2641944758"
"61","2641944760"
"62","2641944761"
"63","2641944763"
"64","2641944764"
"65","2641944765"
"66","2641944766"
"67","2641944767"
"68","2641944783"
"69","2641944800"
"70","2641944846"
"71","2641944909"
"72","2641944913"
"73","2641944934"
"74","2641944935"
"75","2641944937"
"76","2641944938"
"77","2641944955"
"78","2641945042"
"79","2641945080"
"80","2641945081"
"81","2641945082"
"82","2641945230"
"83","2641945231"
"84","2641945232"
"85","2641945298"
"86","2641945329"
"87","2641945394"
"88","2641945395"
"89","2641945396"
"90","2641945399"
"91","2641945404"
"92","2641945427"
"93","2641945435"
"94","2641945436"
"95","2641945437"
"96","2641945438"
"97","2641945467"
"98","2641945486"
"99","2641945487"
"100","2641945488"
"101","2641945489"
"102","2641945490"
"103","2641945491"
"104","2641945492"
"105","2641945496"
"106","2641945528"
"107","2641945533"
"108","2641945534"
"109","2641945583"
"110","2641945603"
"111","2641945612"
"112","2641945615"
"113","2641945619"
"114","2641945622"
"115","2641945623"
"116","2641945624"
"117","2641945641"
"118","2641945649"
"119","2641945671"
"120","2641945690"
"121","2641945691"
"122","2641945710"
"123","2641945723"
"124","2641945766"
"125","2641945770"
"126","2641945778"
"127","2641945783"
"128","2641945795"
"129","2641945796"
"130","2641945806"
"131","2641945811"
"132","2641945849"
"133","2641945868"
"134","2641945869"
"135","2641945870"
"136","2641945918"
"137","2641945919"
"138","2641945972"
"139","2641946074"
"140","2641946090"
"141","2641946099"
"142","2641946100"
"143","2641946136"
"144","2641946180"
"145","2641946183"
"146","2641946248"
"147","2641946249"
"148","2641946250"
"149","2641946270"
"150","2641946280"
"151","2641946286"
"152","2641946287"
"153","2641946288"
"154","2641946292"
"155","2641946313"
"156","2641946339"
"157","2641946408"
"158","2641946435"
"159","2641946457"
"160","2641946583"
"161","2641950675"
"162","2641950694"
"163","2641950704"
"164","2641950709"
"165","2641950766"
"166","2641950814"
"167","2641950913"
"168","2641950923"
"169","2641950924"
"170","2641950933"
"171","2641951009"
"172","2641951159"
"173","2641951171"
"174","2641951172"
"175","2641951189"
"176","2641951209"
"177","2641951213"
"178","2641951230"
"179","2641951231"
"180","2641951232"
"181","2641951234"
"182","2641951236"
"183","2641951240"
"184","2641951243"
"185","2641951296"
"186","2641951350"
"187","2641951360"
"188","2641951367"
"189","2641951386"
"190","2641951471"
"191","2641951587"
"192","2641951589"
"193","2641951615"
"194","2641951638"
"195","2641951663"
"196","2641951680"
"197","2641951693"
"198","2641951722"
"199","2641951850"
"200","2641951853"
"201","2641951877"
"202","2641951878"
"203","2641951912"
"204","2641951939"
"205","2641951974"
"206","2641951975"
"207","2641951984"
"208","2641951986"
"209","2641952012"
"210","2641952078"
"211","2641952089"
"212","2641952233"
"213","2641952234"
"214","2641952235"
"215","2641952237"
"216","2641952239"
"217","2641952282"
"218","2641952303"
"219","2641952320"
"220","2641952367"
"221","2641952375"
"222","2641952376"
"223","2641952378"
"224","2641952397"
"225","2641952399"
"226","2641952412"
"227","2641952434"
"228","2641952437"
"229","2641952464"
"230","2641952469"
"231","2641952516"
"232","2641952517"
"233","2641952518"
"234","2641952533"
"235","2641952571"
"236","2641952582"
"237","2641952587"
"238","2641952624"
"239","2641952649"
"240","2641952663"
"241","2641952679"
"242","2641952680"
"243","2641952681"
"244","2641952762"
"245","2641952787"
"246","2641952817"
"247","2641952818"
"248","2641952819"
"249","2641952821"
"250","2641952847"
"251","2641952867"
"252","2641952910"
"253","2641952945"
"254","2641952946"
"255","2641952947"
"256","2641952995"
"257","2641953085"
"258","2641953100"
"259","2641953117"
"260","2641953126"
"261","2641953161"
"262","2641953189"
"263","2641953193"
"264","2641953211"
"265","2641953235"
"266","2641953240"
"267","2641953243"
"268","2641953254"
"269","2641953259"
"270","2641953266"
"271","2641953267"
"272","2641953275"
"273","2641953358"
"274","2641953359"
"275","2641953383"
"276","2641953411"
"277","2641953416"
"278","2641953417"
"279","2641953419"
"280","2641953422"
"281","2641953430"
"282","2641953431"
"283","2641953432"
"284","2641953878"
"285","2641954144"
"286","K00003"
"287","K00020"
"288","K00036"
"289","K00104"
"290","K00133"
"291","K00240"
"292","K00281"
"293","K00284"
"294","K00286"
"295","K00341"
"296","K00485"
"297","K00548"
"298","K00588"
"299","K00616"
"300","K00640"
"301","K00645"
"302","K00688"
"303","K00700"
"304","K00705"
"305","K00764"
"306","K00845"
"307","K00859"
"308","K00962"
"309","K00989"
"310","K01147"
"311","K01251"
"312","K01299"
"313","K01423"
"314","K01495"
"315","K01595"
"316","K01611"
"317","K01649"
"318","K01714"
"319","K01733"
"320","K01755"
"321","K01776"
"322","K01792"
"323","K01838"
"324","K01866"
"325","K01889"
"326","K01892"
"327","K02002"
"328","K02003"
"329","K02018"
"330","K02020"
"331","K02224"
"332","K02232"
"333","K02237"
"334","K02257"
"335","K02259"
"336","K02293"
"337","K02294"
"338","K02316"
"339","K02469"
"340","K02495"
"341","K02519"
"342","K02585"
"343","K02586"
"344","K02588"
"345","K02591"
"346","K02592"
"347","K02593"
"348","K02595"
"349","K02596"
"350","K02597"
"351","K02601"
"352","K02639"
"353","K02662"
"354","K02706"
"355","K02902"
"356","K02911"
"357","K02954"
"358","K02963"
"359","K03043"
"360","K03046"
"361","K03086"
"362","K03110"
"363","K03149"
"364","K03218"
"365","K03386"
"366","K03431"
"367","K03547"
"368","K03587"
"369","K03594"
"370","K03596"
"371","K03605"
"372","K03636"
"373","K03695"
"374","K03742"
"375","K03787"
"376","K03798"
"377","K03832"
"378","K03841"
"379","K03885"
"380","K04043"
"381","K04066"
"382","K04077"
"383","K04078"
"384","K04079"
"385","K04487"
"386","K04567"
"387","K04651"
"388","K04652"
"389","K04655"
"390","K04757"
"391","K04771"
"392","K05515"
"393","K05516"
"394","K05575"
"395","K05592"
"396","K05897"
"397","K06048"
"398","K06133"
"399","K06194"
"400","K06338"
"401","K06402"
"402","K06888"
"403","K07038"
"404","K07056"
"405","K07080"
"406","K07082"
"407","K07390"
"408","K07755"
"409","K08106"
"410","K08217"
"411","K08678"
