"","x"
"1","2607584618"
"2","2607584640"
"3","2607584692"
"4","2607584693"
"5","2607584694"
"6","2607584792"
"7","2607584817"
"8","2607584846"
"9","2607584888"
"10","2607584891"
"11","2607584939"
"12","2607585000"
"13","2607585001"
"14","2607585082"
"15","2607585163"
"16","2607585164"
"17","2607585205"
"18","2607585296"
"19","2607585404"
"20","2607585420"
"21","2607585449"
"22","2607585473"
"23","2607585474"
"24","2607585477"
"25","2607585538"
"26","2607585562"
"27","2607585579"
"28","2607585597"
"29","2607585599"
"30","2607585625"
"31","2607585708"
"32","2607585725"
"33","2607585726"
"34","2607585727"
"35","2607585728"
"36","2607585755"
"37","2607585823"
"38","2607585834"
"39","2607585896"
"40","2607585945"
"41","2607585971"
"42","2607585973"
"43","2607586038"
"44","2607586048"
"45","2607586128"
"46","2607586129"
"47","2607586130"
"48","2607586139"
"49","2607586140"
"50","2607586158"
"51","2607586187"
"52","2607586192"
"53","2607586205"
"54","2607586226"
"55","2607586286"
"56","2607586290"
"57","2607586312"
"58","2607586313"
"59","2607586327"
"60","2607586376"
"61","2607586432"
"62","2607586434"
"63","2607586476"
"64","2607586557"
"65","2607586558"
"66","2607586559"
"67","2607586643"
"68","2607586700"
"69","2607586701"
"70","2607586708"
"71","2607586737"
"72","2607586738"
"73","2607586793"
"74","2607586795"
"75","2607586797"
"76","2607586819"
"77","2607586854"
"78","2607586915"
"79","2607586927"
"80","2607586939"
"81","2607586950"
"82","2607586953"
"83","2607587031"
"84","2607587034"
"85","2607587036"
"86","2607587037"
"87","2607587050"
"88","2607587073"
"89","2607587086"
"90","2607587087"
"91","2607587091"
"92","2607587099"
"93","2607587135"
"94","2607587178"
"95","2607587189"
"96","2607587192"
"97","2607587203"
"98","2607587204"
"99","2607587205"
"100","2607587206"
"101","2607587207"
"102","2607587211"
"103","2607587217"
"104","2607587259"
"105","2607587263"
"106","2607587265"
"107","2607587266"
"108","2607587271"
"109","2607587313"
"110","2607587342"
"111","2607587343"
"112","2607587385"
"113","2607587406"
"114","2607587425"
"115","2607587440"
"116","2607587441"
"117","2607587450"
"118","2607587643"
"119","2607587644"
"120","2607587646"
"121","2607587647"
"122","2607587670"
"123","2607587701"
"124","2607587707"
