gene_id,KO_id,KO_acc,GO_IDs,GO_terms
2607584622,2607584622,MBS9771264.1,GO:0009252;GO:0042221;GO:0005515;GO:0008658;GO:0016758;GO:0000270;GO:0006022;GO:0006023;GO:0006024;GO:0006807;GO:0008152;GO:0009058;GO:0009059;GO:0009987;GO:0030203;GO:0034645;GO:0042546;GO:0043170;GO:0044036;GO:0044038;GO:0044085;GO:0044237;GO:0044249;GO:0044260;GO:0050896;GO:0070589;GO:0071554;GO:0071704;GO:0071840;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576;GO:0003824;GO:0005488;GO:0016740;GO:0016757;GO:0031406;GO:0033218;GO:0036094;GO:0043167;GO:0043168;GO:0097159;GO:1901363,peptidoglycan biosynthetic process;response to chemical;protein binding;penicillin binding;hexosyltransferase activity;peptidoglycan metabolic process;aminoglycan metabolic process;aminoglycan biosynthetic process;glycosaminoglycan biosynthetic process;nitrogen compound metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;glycosaminoglycan metabolic process;cellular macromolecule biosynthetic process;cell wall biogenesis;macromolecule metabolic process;cell wall macromolecule metabolic process;cell wall macromolecule biosynthetic process;cellular component biogenesis;cellular metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;response to stimulus;cellular component macromolecule biosynthetic process;cell wall organization or biogenesis;organic substance metabolic process;cellular component organization or biogenesis;carbohydrate derivative metabolic process;carbohydrate derivative biosynthetic process;organonitrogen compound metabolic process;organonitrogen compound biosynthetic process;organic substance biosynthetic process;catalytic activity;binding;transferase activity;glycosyltransferase activity;carboxylic acid binding;amide binding;small molecule binding;ion binding;anion binding;organic cyclic compound binding;heterocyclic compound binding
2607584624,2607584624,MBS9771265.1,GO:0005515,protein binding
2607584625,2607584625,MBS9771266.1,GO:0005515,protein binding
2607584631,2607584631,NEO74711.1,GO:0003676,nucleic acid binding
2607584632,2607584632,NES87064.1,GO:0003676,nucleic acid binding
2607584641,2607584641,NEP86526.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584654,2607584654,BCL35779.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584657,2607584657,MBS9769775.1,GO:0006468;GO:0004672;GO:0005515;GO:0005524,protein phosphorylation;protein kinase activity;protein binding;ATP binding
2607584669,2607584669,MBS9769787.1,GO:0016491;GO:0003824,oxidoreductase activity;catalytic activity
2607584681,2607584681,MBS9769793.1,GO:0003993;GO:0016787,acid phosphatase activity;hydrolase activity
2607584683,2607584683,MBS9769796.1,GO:0006790;GO:0008146;GO:0005737;GO:0008152;GO:0009987;GO:0044237;GO:0003824;GO:0016740;GO:0005622;GO:0110165,sulfur compound metabolic process;sulfotransferase activity;cytoplasm;metabolic process;cellular process;cellular metabolic process;catalytic activity;transferase activity;intracellular anatomical structure;cellular anatomical entity
2607584684,2607584684,MBS9769797.1,GO:0016787,hydrolase activity
2607584686,2607584686,MBS9769800.1,GO:0006468;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0003824;GO:0004672;GO:0016301;GO:0016740;GO:0016772;GO:0016773;GO:0140096;GO:0005622;GO:0110165,"protein phosphorylation;protein serine/threonine kinase activity;protein binding;ATP binding;cytoplasm;catalytic activity;protein kinase activity;kinase activity;transferase activity;transferase activity, transferring phosphorus-containing groups;phosphotransferase activity, alcohol group as acceptor;catalytic activity, acting on a protein;intracellular anatomical structure;cellular anatomical entity"
2607584694,2607584694,MCL2927253.1,GO:0008170,N-methyltransferase activity
2607584695,2607584695,MBS9769806.1,GO:0055085;GO:0016020,transmembrane transport;membrane
2607584697,2607584697,WP_124143258.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584698,2607584698,MBS9770197.1,GO:0006508;GO:0007154;GO:0030001;GO:0005509;GO:0008237;GO:0008270;GO:0008324;GO:0015297;GO:0022853;GO:0005615;GO:0016020;GO:0006810;GO:0006811;GO:0006812;GO:0051179;GO:0051234;GO:0005215;GO:0015075;GO:0015291;GO:0015298;GO:0015491;GO:0022804;GO:0022857;GO:0110165,proteolysis;cell communication;metal ion transport;calcium ion binding;metallopeptidase activity;zinc ion binding;monoatomic cation transmembrane transporter activity;antiporter activity;active monoatomic ion transmembrane transporter activity;extracellular space;membrane;transport;monoatomic ion transport;monoatomic cation transport;localization;establishment of localization;transporter activity;monoatomic ion transmembrane transporter activity;secondary active transmembrane transporter activity;obsolete solute:monoatomic cation antiporter activity;obsolete cation:cation antiporter activity;active transmembrane transporter activity;transmembrane transporter activity;cellular anatomical entity
2607584699,2607584699,WP_124143258.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584702,2607584702,MBS9770382.1,GO:0016491,oxidoreductase activity
2607584705,2607584705,NET16117.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584711,2607584711,WP_124143258.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584712,2607584712,NEP86526.1,GO:0006313;GO:0003677;GO:0004803,"transposition, DNA-mediated;DNA binding;transposase activity"
2607584716,2607584716,MBS9771469.1,GO:0006493;GO:0005515;GO:0008375;GO:0140096;GO:0006486;GO:0006807;GO:0008152;GO:0009058;GO:0009059;GO:0009100;GO:0009101;GO:0009987;GO:0019538;GO:0034645;GO:0036211;GO:0043170;GO:0043412;GO:0043413;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0070085;GO:0071704;GO:1901135;GO:1901137;GO:1901564;GO:1901566;GO:1901576;GO:0003824;GO:0008194;GO:0016740;GO:0016757;GO:0016758,"protein O-linked glycosylation;protein binding;acetylglucosaminyltransferase activity;catalytic activity, acting on a protein;protein glycosylation;nitrogen compound metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;glycoprotein metabolic process;glycoprotein biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;protein modification process;macromolecule metabolic process;macromolecule modification;macromolecule glycosylation;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;glycosylation;organic substance metabolic process;carbohydrate derivative metabolic process;carbohydrate derivative biosynthetic process;organonitrogen compound metabolic process;organonitrogen compound biosynthetic process;organic substance biosynthetic process;catalytic activity;UDP-glycosyltransferase activity;transferase activity;glycosyltransferase activity;hexosyltransferase activity"
2607584718,2607584718,MBS9771467.1,GO:0008146;GO:0016020,sulfotransferase activity;membrane
2607584719,2607584719,MBS9771466.1,GO:0008146,sulfotransferase activity
