From	Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
NEQ39894.1	A0A6P0RG57	A0A6P0RG57_9CYAN	unreviewed	Peptidase	F6K40_28050	Okeania sp. SIO3I5	1170		
NET45796.1	A0A846GFC2	A0A846GFC2_9CYAN	unreviewed	IS607 family transposase	F6K15_29630	Okeania sp. SIO2B3	216	DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]; DNA integration [GO:0015074]; regulation of DNA-templated transcription [GO:0006355]	GO:0000150; GO:0003677; GO:0006355; GO:0015074
NES03457.1	A0A846CH30	A0A846CH30_9CYAN	unreviewed	Acyltransferase	F6K22_11750	Okeania sp. SIO2F4	313	membrane [GO:0016020]	GO:0016020
OZH53155.1	A0A261KP38	A0A261KP38_9CYAN	unreviewed	Tnp_DDE_dom domain-containing protein	AFK68_19545	Hydrocoleum sp. CS-953	214		
NET43630.1	A0A846G7W8	A0A846G7W8_9CYAN	unreviewed	DUF563 domain-containing protein	F6K15_17745	Okeania sp. SIO2B3	619	glycosyltransferase activity [GO:0016757]; protein O-linked glycosylation [GO:0006493]	GO:0006493; GO:0016757
NET43629.1	A0A846GAJ5	A0A846GAJ5_9CYAN	unreviewed	Sulfotransferase	F6K15_17740	Okeania sp. SIO2B3	348	transferase activity [GO:0016740]	GO:0016740
NES01850.1	A0A846BZM2	A0A846BZM2_9CYAN	unreviewed	Acetolactate synthase (EC 2.2.1.6)	ilvB F6K22_02820	Okeania sp. SIO2F4	612	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	GO:0000287; GO:0003984; GO:0009097; GO:0009099; GO:0030976; GO:0050660
NES71163.1	A0A6P0XW13	A0A6P0XW13_9CYAN	unreviewed	HipA-like protein	F6K24_41135	Okeania sp. SIO2D1	221	transferase activity [GO:0016740]	GO:0016740
NET16117.1	A0A6P0YIP3	A0A6P0YIP3_9CYAN	unreviewed	IS4 family transposase	F6K08_26465	Okeania sp. SIO1H6	381	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEN92331.1	A0A6P0I9X0	A0A6P0I9X0_9CYAN	unreviewed	Transposase	F6K48_26905	Okeania sp. SIO3H1	79	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
NET17316.1	A0A6P0YKX5	A0A6P0YKX5_9CYAN	unreviewed	EboA domain-containing protein	F6K08_33125	Okeania sp. SIO1H6	311		
NET46395.1	A0A846GH56	A0A846GH56_9CYAN	unreviewed	Photosystem II q(B) protein	F6K15_32965	Okeania sp. SIO2B3	120	"plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]"	GO:0009772; GO:0016168; GO:0031676; GO:0045156; GO:0046872
NEP89772.1	A0A6P0NW25	A0A6P0NW25_9CYAN	unreviewed	IS630 family transposase	F6K18_24705	Okeania sp. SIO2C2	101	nucleic acid binding [GO:0003676]	GO:0003676
NEO58280.1	A0A6M0A0Z5	A0A6M0A0Z5_9CYAN	unreviewed	HNH endonuclease	F6K54_37645	Okeania sp. SIO3B5	87	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004519
NEO74711.1	A0A6P0LMA7	A0A6P0LMA7_9CYAN	unreviewed	IS630 family transposase	F6K52_35995	Moorena sp. SIO3H5	289	nucleic acid binding [GO:0003676]	GO:0003676
PIG95468.1	A0A2G7GRI2	A0A2G7GRI2_9CHRO	unreviewed	Glyco_trans_4-like_N domain-containing protein	CSQ79_03220	Chroococcales cyanobacterium IPPAS B-1203	909		
NET24736.1	A0A6M0FBJ9	A0A6M0FBJ9_9CYAN	unreviewed	Rhamnosyl O-methyltransferase	F6K01_04440	Okeania sp. SIO1I7	254	methyltransferase activity [GO:0008168]; lipid biosynthetic process [GO:0008610]	GO:0008168; GO:0008610
NET24738.1	A0A6M0FD04	A0A6M0FD04_9CYAN	unreviewed	NAD(P)-dependent oxidoreductase	F6K01_04450	Okeania sp. SIO1I7	304		
CAX32370.1	B9ESM1	B9ESM1_PROMM	unreviewed	Secreted protein	PMT_2851	Prochlorococcus marinus (strain MIT 9313)	125		
NEP89920.1	A0A6P0NXN8	A0A6P0NXN8_9CYAN	unreviewed	ATP-binding protein	F6K18_25570	Okeania sp. SIO2C2	700	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0016887
NEP43441.1	A0A6M0C403	A0A6M0C403_9CYAN	unreviewed	Secreted protein	F6K35_31140	Okeania sp. SIO2H7	92		
NEO58446.1	A0A6M0A2I3	A0A6M0A2I3_9CYAN	unreviewed	Transposase	F6K54_38600	Okeania sp. SIO3B5	186		
NER35636.1	A0A7C9PU44	A0A7C9PU44_9CYAN	unreviewed	Velvet domain-containing protein	F6J93_16865	Oscillatoria sp. SIO1A7	103		
NES71437.1	A0A6P0XWN7	A0A6P0XWN7_9CYAN	unreviewed	HTH_Tnp_IS630 domain-containing protein	F6K24_42680	Okeania sp. SIO2D1	108		
MBE9160223.1	A0A8J7EMA0	A0A8J7EMA0_9CYAN	unreviewed	IS5 family transposase	IQ265_25875	Nodosilinea sp. LEGE 06152	186	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEQ64338.1	A0A6P0RNQ3	A0A6P0RNQ3_9CYAN	unreviewed	Transposase	F6K21_02340	Symploca sp. SIO2D2	104		
NEO52453.1	A0A6L9ZLV0	A0A6L9ZLV0_9CYAN	unreviewed	IS5 family transposase	F6K54_04820	Okeania sp. SIO3B5	331		
NEQ78485.1	A0A846AUE5	A0A846AUE5_9CYAN	unreviewed	Transposase	F6K23_39155	Okeania sp. SIO2C9	111	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEO53556.1	A0A6L9ZN49	A0A6L9ZN49_9CYAN	unreviewed	Uma2 family endonuclease	F6K54_10970	Okeania sp. SIO3B5	195	endonuclease activity [GO:0004519]	GO:0004519
NEQ40100.1	A0A6P0RKS4	A0A6P0RKS4_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB	tnpB F6K40_29220	Okeania sp. SIO3I5	442	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0004519; GO:0006310; GO:0032196; GO:0046872
EGE57262.1	F2AE05	F2AE05_RHIET	unreviewed	Uncharacterized protein	RHECNPAF_4460032	Rhizobium etli CNPAF512	76		
NEQ78564.1	A0A846AR45	A0A846AR45_9CYAN	unreviewed	Transposase	F6K23_39590	Okeania sp. SIO2C9	445		
OLB60761.1	A0A1Q7AFA0	A0A1Q7AFA0_9CHLR	unreviewed	Transposase	AUH94_07030	Ktedonobacter sp. 13_2_20CM_2_54_8	140		
NEP81444.1	A0A845ZAC1	A0A845ZAC1_9CYAN	unreviewed	IS5/IS1182 family transposase	F6K39_26735	Okeania sp. SIO3B3	49		
PKP51029.1	A0A2N3A851	A0A2N3A851_9BACT	unreviewed	DNA-binding response regulator	CVT95_01835	Bacteroidetes bacterium HGW-Bacteroidetes-12	251	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0003677
NEQ36327.1	A0A6P0R7D8	A0A6P0R7D8_9CYAN	unreviewed	CHAT domain-containing protein	F6K40_08545	Okeania sp. SIO3I5	4734		
NEQ38891.1	A0A6P0RCT4	A0A6P0RCT4_9CYAN	unreviewed	NACHT domain-containing protein	F6K40_22505	Okeania sp. SIO3I5	461		
OZH54439.1	A0A261KTT1	A0A261KTT1_9CYAN	unreviewed	DDE endonuclease	AFK68_10950	Hydrocoleum sp. CS-953	76	endonuclease activity [GO:0004519]	GO:0004519
NEO52661.1	A0A6L9ZQ49	A0A6L9ZQ49_9CYAN	unreviewed	Energy transducer TonB	F6K54_05970	Okeania sp. SIO3B5	83		
VBB06289.1	A0A498R568	A0A498R568_9FIRM	unreviewed	Phosphoglycerate mutase	LUCI_1517	Lucifera butyrica	84		
NES65860.1	A0A6P0XFS8	A0A6P0XFS8_9CYAN	unreviewed	Transposase	F6K24_11615	Okeania sp. SIO2D1	336	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEQ40941.1	A0A6P0RIH1	A0A6P0RIH1_9CYAN	unreviewed	DNA-directed RNA polymerase	F6K40_33895	Okeania sp. SIO3I5	69		
NEP88630.1	A0A6P0NTU8	A0A6P0NTU8_9CYAN	unreviewed	Transposase	F6K18_18320	Okeania sp. SIO2C2	241	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NES08014.1	A0A846CF60	A0A846CF60_9CYAN	unreviewed	Transposase	F6K22_37695	Okeania sp. SIO2F4	436		
NEP46670.1	A0A6M0CBZ7	A0A6M0CBZ7_9CYAN	unreviewed	UbiD family decarboxylase	F6K35_48765	Okeania sp. SIO2H7	180	carboxy-lyase activity [GO:0016831]	GO:0016831
