From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
WP_006097775.1	B4VHN5	unreviewed	B4VHN5_9CYAN	IS630 family transposase	MC7420_3396 MC7420_3551 MC7420_3696 MC7420_5053 MC7420_5340 MC7420_6982	Coleofasciculus chthonoplastes PCC 7420	345	nucleic acid binding [GO:0003676]	GO:0003676
WP_011611801.1	A0A3N6P096	unreviewed	A0A3N6P096_9CYAN	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE atpH D5R40_05380	Okeania hirsuta	81	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0008289; GO:0031676; GO:0045263; GO:0046933
WP_011611801.1	A0A261KJK8	unreviewed	A0A261KJK8_9CYAN	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE atpH AFK68_30005	Hydrocoleum sp. CS-953	81	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; hydrolase activity [GO:0016787]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0008289; GO:0016787; GO:0031676; GO:0045263; GO:0046933
WP_011611801.1	Q112Z2	reviewed	ATPL_TRIEI	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE atpH Tery_2203	Trichodesmium erythraeum (strain IMS101)	81	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	GO:0008289; GO:0031676; GO:0045263; GO:0046933
WP_054470413.1	A0A0M1JLA5	unreviewed	A0A0M1JLA5_9CYAN	DUF2281 domain-containing protein	AM228_28460	Planktothricoides sp. SR001	61		
WP_011613950.1	A0A3N6NK64	unreviewed	A0A3N6NK64_9CYAN	Photosystem II reaction center protein T (PSII-T)	psbT D5R40_34360	Okeania hirsuta	31	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0031676
WP_011613950.1	Q10VU1	reviewed	PSBT_TRIEI	Photosystem II reaction center protein T (PSII-T)	psbT Tery_4665	Trichodesmium erythraeum (strain IMS101)	31	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0031676
WP_044136527.1	A0A3N6PCR2	unreviewed	A0A3N6PCR2_9CYAN	Threonyl-tRNA synthetase	D5R40_13510	Okeania hirsuta	62		
WP_015171839.1	K9S7V8	unreviewed	K9S7V8_9CYAN	Peptidase_C25 domain-containing protein	GEI7407_1787	Geitlerinema sp. PCC 7407	558	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]	GO:0006508; GO:0008234
WP_008274399.1	A3IM24	unreviewed	A3IM24_9CHRO	Transposase	CY0110_02104	Crocosphaera chwakensis CCY0110	70	nucleic acid binding [GO:0003676]	GO:0003676
