id,gene_id,gene_name,KO
2641943190,K00053,ketol-acid reductoisomerase [EC:1.1.1.86],K00053
2641943193,K00766,anthranilate phosphoribosyltransferase [EC:2.4.2.18],K00766
2641943197,K04077,chaperonin GroEL [EC:5.6.1.7],K04077
2641943198,K04078,chaperonin GroES,K04078
2641943211,K01772,protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9],K01772
2641943216,K04758,ferrous iron transport protein A,K04758
2641943217,K04759,ferrous iron transport protein B,K04759
2641943221,K25026,glucokinase [EC:2.7.1.2],K25026
2641943225,K01937,CTP synthase [EC:6.3.4.2],K01937
2641943227,K01056,"peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]",K01056
2641943228,K03116,sec-independent protein translocase protein TatA,K03116
2641943229,K02709,photosystem II PsbH protein,K02709
2641943230,K02715,PsbN protein,K02715
2641943233,K01736,chorismate synthase [EC:4.2.3.5],K01736
2641943234,K00784,ribonuclease Z [EC:3.1.26.11],K00784
2641943235,K05838,putative thioredoxin,K05838
2641943236,K17836,beta-lactamase class A [EC:3.5.2.6],K17836
2641943248,K04757,serine/threonine-protein kinase RsbW [EC:2.7.11.1],K04757
2641943253,K01893,asparaginyl-tRNA synthetase [EC:6.1.1.22],K01893
2641943255,K07313,serine/threonine protein phosphatase 1 [EC:3.1.3.16],K07313
2641943256,K00556,tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34],K00556
2641943257,K01423,beta-barrel assembly-enhancing protease [EC:3.4.-.-],K01423
2641943260,K01649,2-isopropylmalate synthase [EC:2.3.3.13],K01649
2641943261,K18802,glutamine amidotransferase,K18802
2641943271,K01838,beta-phosphoglucomutase [EC:5.4.2.6],K01838
2641943272,K03147,phosphomethylpyrimidine synthase [EC:4.1.99.17],K03147
2641943274,K00762,orotate phosphoribosyltransferase [EC:2.4.2.10],K00762
2641943278,K02233,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],K02233
2641943281,K09969,general L-amino acid transport system substrate-binding protein,K09969
2641943282,K09970,general L-amino acid transport system permease protein,K09970
2641943283,K09971,general L-amino acid transport system permease protein,K09971
2641943284,K02028,polar amino acid transport system ATP-binding protein [EC:7.4.2.1],K02028
2641943285,K07450,putative resolvase,K07450
2641943286,K07496,putative transposase,K07496
2641943287,K03652,DNA-3-methyladenine glycosylase [EC:3.2.2.21],K03652
2641943293,K00254,dihydroorotate dehydrogenase [EC:1.3.5.2],K00254
2641943295,K03748,SanA protein,K03748
2641943298,K01929,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10],K01929
2641943300,K02970,small subunit ribosomal protein S21,K02970
2641943313,K00801,farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21],K00801
2641943319,K05844,ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-],K05844
2641943340,K03307,"solute:Na+ symporter, SSS family",K03307
2641943342,K01652,acetolactate synthase I/II/III large subunit [EC:2.2.1.6],K01652
2641943343,K04751,nitrogen regulatory protein P-II 1,K04751
2641943347,K11749,regulator of sigma E protease [EC:3.4.24.-],K11749
2641943348,K10773,endonuclease III [EC:4.2.99.18],K10773
2641943349,K02954,small subunit ribosomal protein S14,K02954
2641943351,K00684,leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6],K00684
2641943352,K25223,"MFS transporter, APGE family, 1-arseno-3-phosphoglycerate exporter",K25223
2641943353,K25224,glyceraldehyde-3-phosphate dehydrogenase (arsenate-transferring) [EC:1.2.1.107],K25224
2641943355,K03325,arsenite transporter,K03325
2641943360,K01166,ribonuclease T2 [EC:4.6.1.19],K01166
2641943361,K00091,dihydroflavonol-4-reductase [EC:1.1.1.219],K00091
2641943364,K07450,putative resolvase,K07450
2641943365,K00284,glutamate synthase (ferredoxin) [EC:1.4.7.1],K00284
2641943366,K07496,putative transposase,K07496
2641943377,K03574,8-oxo-dGTP diphosphatase [EC:3.6.1.55],K03574
2641943382,K08479,"two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]",K08479
2641943385,K06942,ribosome-binding ATPase,K06942
2641943386,K08972,putative membrane protein,K08972
2641943392,K03631,DNA repair protein RecN (Recombination protein N),K03631
2641943395,K06381,stage II sporulation protein D,K06381
2641943399,K00784,ribonuclease Z [EC:3.1.26.11],K00784
2641943411,K07171,mRNA interferase MazF [EC:3.1.-.-],K07171
2641943413,K06196,cytochrome c-type biogenesis protein,K06196
2641943414,K07399,cytochrome c biogenesis protein,K07399
2641943421,K04656,hydrogenase maturation protein HypF,K04656
2641943422,K04653,hydrogenase expression/formation protein HypC,K04653
2641943423,K04654,hydrogenase expression/formation protein HypD,K04654
2641943424,K04652,hydrogenase nickel incorporation protein HypB,K04652
2641943425,K10540,methyl-galactoside transport system substrate-binding protein,K10540
2641943428,K10541,methyl-galactoside transport system permease protein,K10541
2641943429,K04651,hydrogenase nickel incorporation protein HypA/HybF,K04651
2641943431,K04655,hydrogenase expression/formation protein HypE,K04655
2641943436,K01599,uroporphyrinogen decarboxylase [EC:4.1.1.37],K01599
2641943440,K03327,"multidrug resistance protein, MATE family",K03327
2641943448,K01869,leucyl-tRNA synthetase [EC:6.1.1.4],K01869
2641943449,K00612,carbamoyltransferase [EC:2.1.3.-],K00612
2641943450,K23504,protein SERAC1,K23504
2641943451,K22205,S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3],K22205
2641943455,K09928,uncharacterized protein,K09928
2641943457,K03650,tRNA modification GTPase [EC:3.6.-.-],K03650
2641943459,K04068,anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4],K04068
2641943460,K12988,"alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]",K12988
2641943463,K08106,N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase [EC:2.8.2.33],K08106
2641943465,K08106,N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase [EC:2.8.2.33],K08106
2641943469,K07391,magnesium chelatase family protein,K07391
2641943470,K02503,histidine triad (HIT) family protein,K02503
2641943474,K10563,formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18],K10563
2641943475,K02693,photosystem I subunit IV,K02693
2641943478,K15633,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",K15633
2641943479,K03075,preprotein translocase subunit SecG,K03075
2641943483,K05376,phycoerythrin alpha chain,K05376
2641943487,K06867,uncharacterized protein,K06867
2641943492,K01519,XTP/dITP diphosphohydrolase [EC:3.6.1.66],K01519
2641943495,K05385,bilin biosynthesis protein,K05385
2641943498,K06867,uncharacterized protein,K06867
2641943499,K05384,bilin biosynthesis protein,K05384
2641943502,K06402,stage IV sporulation protein FB [EC:3.4.24.-],K06402
2641943503,K02698,photosystem I subunit X,K02698
2641943512,K03321,"sulfate permease, SulP family",K03321
2641943516,K04771,serine protease Do [EC:3.4.21.107],K04771
2641943518,K01462,peptide deformylase [EC:3.5.1.88],K01462
2641943520,K05795,tellurium resistance protein TerD,K05795
2641943521,K05795,tellurium resistance protein TerD,K05795
2641943537,K18534,MPBQ/MSBQ methyltransferase [EC:2.1.1.295],K18534
2641943542,K21001,polysaccharide biosynthesis protein PslH,K21001
2641943546,K01790,"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]",K01790
2641943548,K01709,"CDP-glucose 4,6-dehydratase [EC:4.2.1.45]",K01709
2641943549,K00978,glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33],K00978
2641943550,K15257,tRNA (mo5U34)-methyltransferase [EC:2.1.1.-],K15257
2641943553,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
2641943555,K02067,phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein,K02067
2641943556,K02065,phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein,K02065
2641943559,K03405,magnesium chelatase subunit I [EC:6.6.1.1],K03405
2641943563,K06925,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,K06925
2641943565,K05275,pyridoxine 4-dehydrogenase [EC:1.1.1.65],K05275
2641943570,K19171,DNA sulfur modification protein DndD,K19171
2641943574,K00703,starch synthase [EC:2.4.1.21],K00703
2641943575,K00703,starch synthase [EC:2.4.1.21],K00703
2641943577,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
2641943579,K03685,ribonuclease III [EC:3.1.26.3],K03685
2641943581,K02501,imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10],K02501
2641943582,K08316,16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171],K08316
2641943583,K02096,phycobilisome core-membrane linker protein,K02096
2641943586,K03149,thiazole synthase [EC:2.8.1.10],K03149
2641943592,K08641,zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22],K08641
2641943595,K17247,methionine sulfoxide reductase heme-binding subunit,K17247
2641943596,K18912,gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50],K18912
